Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Aug 26",Humboldt State,-,-,UC San Diego,4 - 0 (W) STATS,1.0,0
"Sun, Sep 04",Seattle University,-,2,"Seattle, Wash.",2 - 0 (W) STATS,1.0,0
"Wed, Sep 07",Western Washington,18,-,"Bellingham, Wash.",2 - 0 (W) STATS,1.0,0
"Tue, Sep 13",Cal State L.A.*,15,-,Los Angeles,0 - 1 (L) OT STATS,0.0,1
"Sat, Sep 17",Cal State Bakersfield*,15,-,UC San Diego,4 - 1 (W) STATS,1.0,1
"Wed, Sep 21",Cal State Dominguez Hills*,-,4,Carson,1 - 1 (T) 2OT STATS,,1
"Sat, Sep 24",Cal Poly Pomona*,-,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Sep 30",Sonoma State*,22,-,Rohnert Park,1 - 0 (W) STATS,1.0,1
"Sun, Oct 02",San Francisco State*,22,-,San Francisco,0 - 1 (L) STATS,0.0,1
"Wed, Oct 05",Cal State San Bernardino*,-,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Sun, Oct 09",Cal State Monterey Bay*,-,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Wed, Oct 12",Cal State Bakersfield*,21,-,Bakersfield,1 - 2 (L) STATS,0.0,1
"Fri, Oct 14",Chico State*,21,-,Chico,1 - 0 (W) OT STATS,1.0,1
"Sun, Oct 16",Cal State Stanislaus*,21,-,Turlock,1 - 0 (W) STATS,1.0,1
"Sat, Oct 22",Cal State Dominguez Hills*,20,10,UC San Diego,1 - 2 (L) STATS,0.0,1
"Wed, Oct 26",Cal State San Bernardino*,19,-,San Bernardino,1 - 1 (T) 2OT STATS,,1
"Sat, Oct 29",Cal State L.A.*,19,-,UC San Diego,1 - 0 (W) OT STATS,1.0,1
"Fri, Nov 04 - Sun, Nov 06",Sonoma State,19,-,Turlock,1 - 3 (L) STATS,0.0,0
