Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 04",Saint Martin's,9,-,UC San Diego,2 - 1 (W) STATS NOTES,1.0,0
"Sat, Sep 06",Western Washington,9,-,UC San Diego,0 - 1 (L) STATS NOTES,0.0,0
"Tue, Sep 09",Point Loma,-,-,San Diego,2 - 1 (W) STATS NOTES,1.0,0
"Thu, Sep 11",Dixie State,-,-,UC San Diego,2 - 1 (W) STATS NOTES,1.0,0
"Sun, Sep 14",Cal State San Marcos,-,-,UC San Diego,4 - 0 (W) STATS NOTES,1.0,0
"Thu, Sep 18",California Baptist,-,-,UC San Diego,3 - 0 (W) STATS NOTES,1.0,0
"Sat, Sep 20",Azusa Pacific,-,RV,UC San Diego,0 - 1 (L) 2OT STATS NOTES,0.0,0
"Fri, Sep 26",Cal State L.A. *,-,RV,Los Angeles,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 28",Cal Poly Pomona *,-,22,UC San Diego,0 - 2 (L) STATS NOTES,0.0,1
"Fri, Oct 03",Cal State San Bernardino *,-,-,UC San Diego,4 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 05",Chico State *,-,-,Chico,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 10",Cal State Stanislaus *,-,-,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Oct 12",Cal State East Bay *,-,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 17",Cal State Monterey Bay *,-,-,Seaside,0 - 0 (T) 2OT STATS NOTES,,1
"Sun, Oct 19",SF State *,-,-,San Francisco,0 - 2 (L) STATS NOTES,0.0,1
"Fri, Oct 24",Sonoma State *,-,-,Rohnert Park,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Oct 26",Humboldt State *,-,-,Arcata,2 - 2 (T) 2OT STATS NOTES,,1
"Thu, Oct 30",Cal State Dominguez Hills *,-,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Sun, Nov 02",Cal State Stanislaus (First Round),-,-,UC San Diego,0 - 0 (T) 2OT(CSUS 5-4 on penalty kicks) STATS NOTES,,0
"Thu, Nov 13",Cal State L.A. (First Round),-,14,Azusa,1 - 1 (T) 2OT(CSULA 5-4 on penalty kicks) STATS NOTES,0.0,0
