Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 05",California Baptist,-,-,Riverside,2 - 1 (W) OT STATS NOTES,1.0,0
"Sat, Sep 07",Point Loma,-,-,UC San Diego,3 - 0 (W) STATS NOTES,1.0,0
"Fri, Sep 13",Cal State Dominguez Hills *,25,RV,Carson,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Sep 15",Cal State L.A. *,25,11,Los Angeles,0 - 1 (L) STATS NOTES,0.0,1
"Fri, Sep 20",Chico State *,-,14,Chico,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 22",Cal State San Bernardino *,-,-,San Bernardino,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Sep 27",Humboldt State *,22,-,UC San Diego,2 - 0 (W) STATS NOTES,1.0,1
"Sun, Sep 29",Sonoma State *,22,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 04",Cal State Stanislaus *,10,-,Turlock,2 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 06",Cal State East Bay *,10,-,Hayward,2 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 11",Cal State San Bernardino *,6,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 13",Chico State *,6,RV,UC San Diego,0 - 1 (L) OT STATS NOTES,0.0,1
"Fri, Oct 18",Cal State Dominguez Hills *,17,-,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,1
"Sun, Oct 20",Cal Poly Pomona *,17,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Oct 25",San Francisco State *,18,-,UC San Diego,2 - 1 (W) STATS NOTES,1.0,1
"Sun, Oct 27",Cal State Monterey Bay *,18,-,UC San Diego,2 - 1 (W) STATS NOTES,1.0,1
"Fri, Nov 01",Cal Poly Pomona *,17,-,Pomona,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Nov 03",Cal State L.A. *,17,11,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,1
"Fri, Nov 08",Chico State,16,24,Turlock,2 - 1 (W) OT STATS NOTES,1.0,0
"Sun, Nov 10",Cal State L.A.,16,11,Turlock,0 - 1 (L) STATS NOTES,0.0,0
"Thu, Nov 14",Chico State vs. Seattle Pacific (First Round),-,-,UC San Diego,1-0 CSUC STATS NOTES,,0
"Sat, Nov 16",Chico State (Second Round),17,-,UC San Diego,1 - 1 (T) 2OT(UCSD 5-4 on penalty kicks) STATS NOTES,,0
"Fri, Nov 22",Simon Fraser (Third Round),17,12,"Denver, CO",1 - 1 (T) 2OT(SFU 4-3 on penalty kicks) STATS NOTES,,0
