Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 01",Cal Baptist,-,Riverside,2 - 1 (W) STATS,1.0,0
"Sat, Sep 03",Saint Martin's,-,UC San Diego,0 - 1 (L) STATS,0.0,0
"Fri, Sep 09",Cal State L.A. *,-,Los Angeles,0 - 1 (L) STATS,0.0,1
"Sun, Sep 11",Cal State San Bernardino *,-,San Bernardino,2 - 1 (W) STATS,1.0,1
"Fri, Sep 16",San Francisco State *,-,San Francisco,1 - 0 (W) STATS,1.0,1
"Sun, Sep 18",Cal Poly Pomona *,-,Pomona,0 - 3 (L) STATS,0.0,1
"Fri, Sep 23",Cal State Dominguez Hills *,-,Carson,0 - 1 (L) STATS,0.0,1
"Sun, Sep 25",Cal State San Bernardino *,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Sep 30",Cal State Monterey Bay *,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 02",Cal State East Bay *,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Oct 07",Chico State *,-,Chico,1 - 2 (L) STATS,0.0,1
"Sun, Oct 09",Cal State Stanislaus *,-,Turlock,1 - 2 (L) 2OT STATS,0.0,1
"Fri, Oct 14",Cal State L.A. *,13,UC San Diego,2 - 4 (L) STATS,0.0,1
"Sun, Oct 16",Cal State Dominguez Hills *,-,UC San Diego,2 - 3 (L) STATS,0.0,1
"Fri, Oct 21",Humboldt State *,-,UC San Diego,3 - 2 (W) STATS,1.0,1
"Sun, Oct 23",Sonoma State *,-,UC San Diego,2 - 1 (W) 2OT STATS,1.0,1
"Fri, Oct 28",San Francisco State *,-,UC San Diego,4 - 1 (W) STATS,1.0,1
"Sun, Oct 30",Cal Poly Pomona *,-,UC San Diego,1 - 0 (W) STATS,1.0,1
