Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 02",Dominican,-,UC San Diego,0 - 0 (T) 2OT STATS,,0
"Sat, Sep 04",Notre Dame de Namur,-,UC San Diego,0 - 2 (L) STATS,0.0,0
"Fri, Sep 10",Cal State L.A. *,2,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sun, Sep 12",Cal State Dominguez Hills *,19,UC San Diego,1 - 2 (L) STATS,0.0,1
"Fri, Sep 17",Humboldt State *,-,Arcata,1 - 1 (T) 2OT STATS,,1
"Sun, Sep 19",Sonoma State *,-,Rohnert Park,0 - 3 (L) STATS,0.0,1
"Fri, Sep 24",Cal State Monterey Bay *,-,Seaside,1 - 0 (W) STATS,1.0,1
"Sun, Sep 26",San Francisco State *,-,San Francisco,2 - 0 (W) STATS,1.0,1
"Fri, Oct 01",Cal State San Bernardino *,16,UC San Diego,1 - 1 (T) 2OT STATS,,1
"Sun, Oct 03",Cal Poly Pomona *,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Oct 08",Cal State Dominguez Hills *,-,Carson,0 - 0 (T) 2OT STATS,,1
"Sun, Oct 10",Cal State L.A. *,-,Los Angeles,1 - 0 (W) STATS,1.0,1
"Fri, Oct 15",Chico State *,14,UC San Diego,3 - 2 (W) OT STATS,1.0,1
"Sun, Oct 17",Cal State Stanislaus *,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Oct 22",Cal Poly Pomona *,-,Pomona,1 - 2 (L) STATS,0.0,1
"Sun, Oct 24",Cal State San Bernardino *,6,San Bernardino,0 - 1 (L) STATS,0.0,1
"Fri, Oct 29",Cal State East Bay *,-,Hayward,2 - 0 (W) STATS,1.0,1
"Sun, Oct 31",Cal State East Bay *,-,UC San Diego,6 - 0 (W) STATS,1.0,1
