Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Aug 24",Grand Canyon,-,UC San Diego,1 - 0 (W) STATS,1.0,0
"Tue, Sep 05",Seattle University,-,UC San Diego,2 - 3 (L) STATS,0.0,0
"Fri, Sep 08",Cal State San Bernardino*,-,UC San Diego,2 - 1 (W) 2OT STATS,1.0,1
"Sun, Sep 10",Cal Poly Pomona*,-,UC San Diego,1 - 1 (T) 2OT STATS,,1
"Tue, Sep 12",Cal State Dominguez Hills*,15,UC San Diego,1 - 0 (W) 2OT STATS,1.0,1
"Fri, Sep 15",Cal State Stanislaus*,-,Turlock,3 - 1 (W) STATS,1.0,1
"Sun, Sep 17",Chico State*,-,Chico,1 - 0 (W) 2OT STATS,1.0,1
"Wed, Sep 20",Western Washington,-,UC San Diego,2 - 1 (W) STATS,1.0,0
"Fri, Sep 22",Cal State Bakersfield*,-,Bakersfield,0 - 2 (L) STATS,0.0,1
"Sun, Sep 24",Cal State L.A.*,-,Los Angeles,0 - 2 (L) STATS,0.0,1
"Fri, Sep 29",Sonoma State*,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Sun, Oct 01",Humboldt State*,-,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Wed, Oct 04",Cal State Dominguez Hills*,23,Carson,0 - 1 (L) STATS,0.0,1
"Fri, Oct 06",Cal Poly Pomona*,-,Pomona,0 - 1 (L) 2OT STATS,0.0,1
"Sun, Oct 08",Cal State San Bernardino*,-,San Bernardino,0 - 1 (L) STATS,0.0,1
"Fri, Oct 13",Cal State L.A.*,-,UC San Diego,1 - 0 (W) 2OT STATS,1.0,1
"Sun, Oct 15",Cal State Bakersfield*,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Fri, Oct 20",San Francisco State*,-,San Francisco,0 - 1 (L) STATS,0.0,1
"Sun, Oct 22",Cal State Monterey Bay*,-,Monterey,0 - 2 (L) STATS,0.0,1
