Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Fri, Aug 28",Cal State San Marcos,-,UC San Diego,1 - 0 (W) STATS,1.0,0
"Mon, Aug 31",Hawaii Hilo,-,UC San Diego,3 - 2 (W) STATS,1.0,0
"Fri, Sep 04",Notre Dame de Namur,-,Rohnert Park,2 - 1 (W) OT STATS,1.0,0
"Sun, Sep 06",Grand Canyon,22,Rohnert Park,0 - 0 (T) 2OT STATS,,0
"Fri, Sep 11",San Francisco State *,-,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Sun, Sep 13",Cal State Monterey Bay *,-,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Fri, Sep 18",Cal State Stanislaus *,-,Turlock,1 - 2 (L) STATS,0.0,1
"Sun, Sep 20",Chico State *,-,Chico,1 - 1 (T) 2OT STATS,,1
"Fri, Sep 25",Cal Poly Pomona *,-,Pomona,1 - 0 (W) STATS,1.0,1
"Sun, Sep 27",Cal State San Bernardino *,-,San Bernardino,0 - 1 (L) STATS,0.0,1
"Fri, Oct 02",Sonoma State *,7,UC San Diego,1 - 2 (L) STATS,0.0,1
"Sun, Oct 04",Humboldt State *,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Fri, Oct 09",Cal State East Bay *,-,Hayward,3 - 2 (W) STATS,1.0,1
"Sun, Oct 11",Cal State East Bay *,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Oct 16",Cal State Dominguez Hills *,-,Carson,2 - 3 (L) STATS,0.0,1
"Sun, Oct 18",Cal State L.A. *,13,Los Angeles,0 - 1 (L) STATS,0.0,1
"Fri, Oct 23",Cal State San Bernardino *,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Sun, Oct 25",Cal Poly Pomona *,-,UC San Diego,0 - 1 (L) STATS,0.0,1
"Fri, Oct 30",Cal State L.A. *,7,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Nov 01",Cal State Dominguez Hills *,-,UC San Diego,0 - 2 (L) STATS,0.0,1
