Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sat, Oct 27",Biola (Exhibition),-,-,La Mirada,1.0,0,60,54
"Fri, Nov 02",Colorado Christian,10,-,Anaheim Convention Center,1.0,0,69,58
"Sat, Nov 03",Augustana,10,22,Anaheim Convention Center,1.0,0,69,51
"Sun, Nov 04",Western Washington,10,-,Anaheim Convention Center,1.0,0,55,45
"Fri, Nov 23",Western New Mexico,10,-,"Phoenix, Ariz.",1.0,0,61,42
"Sat, Nov 24",Fort Lewis,10,-,"Phoenix, Ariz.",1.0,0,76,64
"Fri, Nov 30",Cal State Stanislaus *,4,-,UC San Diego,1.0,1,77,58
"Sat, Dec 01",Chico State *,4,8,UC San Diego,1.0,1,60,46
"Sun, Dec 16",Grand Canyon,3,-,UC San Diego,1.0,0,74,48
"Tue, Dec 18",Central Washington,3,-,"Las Vegas, Nev.",0.0,0,57,65
"Wed, Dec 19",Western Washington,3,-,"Las Vegas, Nev.",1.0,0,83,64
"Fri, Dec 28",Seattle Pacific,3,15,UC San Diego,0.0,0,65,75
"Sat, Dec 29",Western Washington,3,-,UC San Diego,1.0,0,79,76
"Fri, Jan 04",Sonoma State *,12,-,Rohnert Park,0.0,1,41,58
"Sat, Jan 05",Humboldt State *,12,-,Arcata,0.0,1,52,70
"Fri, Jan 11",Cal State Dominguez Hills *,21,-,Carson,1.0,1,65,52
"Sat, Jan 12",Cal State L.A. *,21,-,Los Angeles,1.0,1,60,59
"Fri, Jan 18",Cal Poly Pomona *,20,-,UC San Diego,0.0,1,61,66
"Sat, Jan 19",Cal State San Bernardino *,20,-,UC San Diego,1.0,1,68,60
"Fri, Jan 25",San Francisco State *,-,-,UC San Diego,1.0,1,64,58
"Sat, Jan 26",Cal State Monterey Bay *,-,-,UC San Diego,1.0,1,68,51
"Fri, Feb 01",Chico State *,-,18,Chico,0.0,1,51,60
"Sat, Feb 02",Cal State Stanislaus *,-,-,Turlock,1.0,1,67,57
"Fri, Feb 08",Humboldt State *,-,-,UC San Diego,0.0,1,65,76
"Sat, Feb 09",Sonoma State *,-,-,UC San Diego,1.0,1,72,59
"Fri, Feb 15",Cal State L.A. *,-,-,UC San Diego,1.0,1,67,30
"Sat, Feb 16",Cal State Dominguez Hills *,-,-,UC San Diego,1.0,1,75,64
"Fri, Feb 22",Cal State San Bernardino *,-,24,San Bernardino,1.0,1,66,56
"Sat, Feb 23",Cal Poly Pomona *,-,-,Pomona,0.0,1,55,72
"Thu, Feb 28",Cal State Monterey Bay *,-,-,Monterey,1.0,1,74,50
"Fri, Feb 29",San Francisco State *,-,-,San Francisco,1.0,1,63,47
"Tue, Mar 04",San Francisco State,-,-,UC San Diego,1.0,0,59,56
"Fri, Mar 07",Sonoma State *,-,-,San Bernardino,1.0,1,57,55
"Sat, Mar 08",Chico State,-,18,San Bernardino,0.0,0,63,69
"Fri, Mar 14",Cal State San Bernardino,-,-,"Seattle, Wash.",1.0,0,59,46
"Sat, Mar 15",Seattle Pacific,-,2,"Seattle, Wash.",0.0,0,67,76
