Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sun, Nov 08",Stanford (Ex.),14,-,Palo Alto,0.0,0,55,107
"Sat, Nov 14",University of San Diego (Ex.),14,-,San Diego,0.0,0,69,88
"Sat, Nov 21",Grand Canyon,14,-,"Phoenix, AZ",1.0,0,71,70
"Fri, Dec 04",Cal State San Bernardino *,13,-,San Bernardino,1.0,1,69,55
"Sat, Dec 05",Cal Poly Pomona *,13,-,Pomona,1.0,1,48,43
"Tue, Dec 15",Cal State East Bay *,14,-,Hayward,1.0,1,78,61
"Fri, Dec 18",Biola,14,-,UC San Diego,1.0,0,76,55
"Sat, Dec 19",University of Alaska,14,-,UC San Diego,1.0,0,87,41
"Mon, Dec 28",Seattle Pacific,14,20,UC San Diego,1.0,0,82,80
"Tue, Dec 29",Western Washington,14,-,UC San Diego,1.0,0,89,82
"Sat, Jan 02",Cal State L.A. *,14,-,Los Angeles,1.0,1,65,61
"Sun, Jan 03",Cal State Dominguez Hills *,14,-,Carson,1.0,1,69,64
"Thu, Jan 07",Chico State *,9,-,UC San Diego,1.0,1,75,62
"Sat, Jan 09",Cal State Stanislaus *,9,-,UC San Diego,1.0,1,72,38
"Thu, Jan 14",Cal State Monterey Bay *,7,-,UC San Diego,1.0,1,68,63
"Sat, Jan 16",San Francisco State *,7,-,UC San Diego,1.0,1,74,61
"Thu, Jan 21",Humboldt State *,7,-,Arcata,0.0,1,80,84
"Sat, Jan 23",Sonoma State *,7,-,Sonoma,1.0,1,68,52
"Thu, Jan 28",Cal Poly Pomona *,10,-,UC San Diego,1.0,1,71,69
"Sat, Jan 30",Cal State San Bernardino *,10,-,UC San Diego,1.0,1,58,41
"Thu, Feb 04",Cal State Dominguez Hills *,8,-,UC San Diego,1.0,1,83,57
"Sat, Feb 06",Cal State L.A. *,8,-,UC San Diego,1.0,1,75,43
"Fri, Feb 12",Cal State Stanislaus *,7,-,Turlock,1.0,1,83,60
"Sat, Feb 13",Chico State *,7,-,Chico,0.0,1,67,77
"Tue, Feb 16",Cal State East Bay *,11,-,UC San Diego,1.0,1,96,73
"Fri, Feb 19",San Francisco State *,11,-,San Francisco,1.0,1,58,50
"Sat, Feb 20",Cal State Monterey Bay *,11,-,Monterey,0.0,1,57,68
"Wed, Feb 24",Sonoma State *,14,-,UC San Diego,1.0,1,68,52
"Fri, Feb 26",Humboldt State *,14,-,UC San Diego,1.0,1,86,51
"Tue, Mar 02",Cal State Dominguez Hills,12,-,UC San Diego,1.0,0,73,48
"Fri, Mar 05",Humboldt State,12,-,Arcata,0.0,0,78,82
"Fri, Mar 12",Humboldt State,12,-,"Seattle, WA",0.0,0,72,76
