Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Wed, Nov 15",Biola (Exhibition),21,-,UC San Diego,1.0,0,69,46
"Sat, Nov 18",Northwest Nazarene,21,-,"Nampa, ID",1.0,0,86,82
"Fri, Dec 01",Chico State* *,18,6,UC San Diego,0.0,1,69,79
"Sat, Dec 02",Cal State Stanislaus* *,18,-,UC San Diego,1.0,1,97,57
"Sat, Dec 16",Cal State Dominguez Hills* *,-,-,Carson,1.0,1,57,50
"Tue, Dec 19",Seattle Pacific,-,24,"Las Vegas, NV",0.0,0,60,70
"Wed, Dec 20",Western Washington,-,14,"Las Vegas, NV",1.0,0,83,64
"Fri, Dec 29",Western New Mexico,-,-,UC San Diego,1.0,0,87,51
"Sat, Dec 30",West Texas A&M,-,10,UC San Diego,1.0,0,76,71
"Thu, Jan 04",Humboldt State* *,-,-,Arcata,1.0,1,77,65
"Sat, Jan 06",Sonoma State* *,-,-,Rohnert Park,1.0,1,76,70
"Fri, Jan 12",Cal State L.A.* *,-,-,Los Angeles,1.0,1,68,36
"Sat, Jan 13",Cal State Bakersfield* *,-,-,Bakersfield,1.0,1,72,61
"Fri, Jan 19",Cal State San Bernardino* *,23,-,UC San Diego,0.0,1,47,60
"Sat, Jan 20",Cal Poly Pomona* *,23,-,UC San Diego,1.0,1,78,54
"Fri, Jan 26",San Francisco State* *,25,-,San Francisco,1.0,1,91,71
"Sat, Jan 27",Cal State Monterey Bay* *,25,-,Monterey,1.0,1,81,64
"Thu, Feb 01",Cal State Stanislaus* *,19,-,Turlock,1.0,1,76,48
"Sat, Feb 03",Chico State* *,19,8,Chico,1.0,1,80,63
"Tue, Feb 06",Cal State Dominguez Hills* *,18,-,UC San Diego,1.0,1,68,64
"Fri, Feb 09",Sonoma State* *,18,-,UC San Diego,1.0,1,66,59
"Sat, Feb 10",Humboldt State* *,18,-,UC San Diego,1.0,1,66,55
"Fri, Feb 16",Cal State Bakersfield* *,14,-,UC San Diego,0.0,1,58,69
"Sat, Feb 17",Cal State L.A.* *,14,-,UC San Diego,1.0,1,86,47
"Fri, Feb 23",Cal Poly Pomona* *,15,-,Pomona,1.0,1,75,62
"Sat, Feb 24",Cal State San Bernardino* *,15,-,San Bernardino,1.0,1,68,51
"Fri, Mar 02",Cal State Monterey Bay* *,14,-,UC San Diego,1.0,1,82,68
"Sat, Mar 03",San Francisco State* *,14,-,UC San Diego,1.0,1,83,61
"Fri, Mar 09",Western Washington,12,-,UC San Diego,1.0,0,78,45
"Sat, Mar 10",Alaska Anchorage,12,-,UC San Diego,1.0,0,66,51
"Mon, Mar 12",Chico State,12,-,UC San Diego,1.0,0,80,63
"Wed, Mar 21",Glenville State,12,2,"Kearney, Neb.",1.0,0,71,61
"Thu, Mar 22",Southern Connecticut State,12,7,"Kearney, Neb.",0.0,0,53,67
