Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sat, Nov 08",Stanford (exhibition),RV,6,Stanford,,0,51,74
"Sat, Nov 15",University of Mary,RV,-,San Bernardino,1.0,0,89,84
"Fri, Nov 21",Seattle Pacific,RV,-,"Bellingham, WA",0.0,0,66,71
"Sat, Nov 22",Western Washington,RV,21,"Bellingham, WA",0.0,0,77,80
"Fri, Nov 28",Cal State San Bernardino vs. Azusa Pacific,-,-,UC San Diego,,0,61,60
"Fri, Nov 28",Academy of Art,-,RV,UC San Diego,0.0,0,74,84
"Sat, Nov 29",Cal State San Bernardino vs. Academy of Art,-,-,UC San Diego,,0,83,74
"Sat, Nov 29",Azusa Pacific,-,RV,UC San Diego,1.0,0,62,49
"Fri, Dec 05",Cal State Monterey Bay *,-,-,Seaside,1.0,1,68,57
"Sat, Dec 06",Cal State East Bay *,-,RV,Hayward,0.0,1,57,74
"Fri, Dec 12",Cal Poly Pomona *,-,25,Pomona,0.0,1,71,82
"Sun, Dec 21",Cal Poly Pomona *,-,RV,UC San Diego,1.0,1,62,50
"Fri, Jan 02",Cal State Stanislaus *,-,-,UC San Diego,1.0,1,81,68
"Sat, Jan 03",Chico State *,-,-,UC San Diego,1.0,1,86,57
"Fri, Jan 09",Sonoma State *,-,-,UC San Diego,1.0,1,69,59
"Sat, Jan 10",San Francisco State *,-,-,UC San Diego,1.0,1,94,61
"Fri, Jan 16",Cal State L.A. *,RV,-,Los Angeles,0.0,1,63,65
"Sat, Jan 17",Cal State Dominguez Hills *,RV,RV,Carson,1.0,1,60,55
"Fri, Jan 23",Cal State San Bernardino *,RV,RV,UC San Diego,0.0,1,56,64
"Sat, Jan 24",Humboldt State *,RV,25,UC San Diego,0.0,1,64,67
"Fri, Jan 30",Cal State East Bay *,-,-,UC San Diego,1.0,1,64,60
"Sat, Jan 31",Cal State Monterey Bay *,-,-,UC San Diego,1.0,1,73,56
"Fri, Feb 06",Chico State *,-,-,Chico,0.0,1,70,76
"Sat, Feb 07",Cal State Stanislaus *,-,-,Turlock,1.0,1,72,53
"Fri, Feb 13",San Francisco State *,-,-,San Francisco,1.0,1,76,65
"Sat, Feb 14",Sonoma State *,-,-,Rohnert Park,1.0,1,79,55
"Fri, Feb 20",Cal State Dominguez Hills *,-,RV,UC San Diego,1.0,1,68,60
"Sat, Feb 21",Cal State L.A. *,-,-,UC San Diego,1.0,1,69,57
"Thu, Feb 26",Humboldt State *,-,15,Arcata,1.0,1,78,63
"Sat, Feb 28",Cal State San Bernardino *,-,RV,San Bernardino,1.0,1,64,61
"Thu, Mar 05",Cal State San Bernardino (first round),-,-,Stockton,0.0,0,58,69
