Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Oct 27",Biola University (Exhibition),13,-,UC San Diego,1.0,0,67,43
"Wed, Nov 02",Stanford (Exhibition),13,-,Palo Alto,0.0,0,56,106
"Mon, Nov 07",San Diego State (Exhibition),13,-,San Diego,0.0,0,60,79
"Fri, Nov 11",Seattle Pacific,13,-,San Francisco (San Francisco State),1.0,0,68,47
"Sat, Nov 12",Western Washington,13,-,Hayward (Cal State East Bay),1.0,0,79,60
"Fri, Nov 18",Hawaii Pacific,13,-,"Hilo, HI",1.0,0,82,65
"Sat, Nov 19",Hawaii Hilo,13,-,"Hilo, HI",1.0,0,68,50
"Fri, Nov 25",Cal State San Marcos,8,-,UC San Diego,1.0,0,85,55
"Sat, Nov 26",Fort Lewis,8,4,UC San Diego,1.0,0,80,65
"Fri, Dec 02",Cal State Dominguez Hills *,5,-,Carson,1.0,1,79,54
"Sat, Dec 03",Cal State L.A. *,5,-,Los Angeles,1.0,1,92,69
"Mon, Dec 12",Cal State San Bernardino *,5,-,UC San Diego,1.0,1,70,45
"Mon, Dec 19",Cal State San Bernardino *,4,-,San Bernardino,1.0,1,78,68
"Thu, Dec 29",San Francisco State *,4,-,UC San Diego,1.0,1,79,44
"Fri, Dec 30",Cal Poly Pomona *,4,11,UC San Diego,1.0,1,78,64
"Fri, Jan 06",Cal State Stanislaus *,3,-,Turlock,1.0,1,83,61
"Sat, Jan 07",Chico State *,3,-,Chico,1.0,1,97,91
"Fri, Jan 13",Cal State East Bay *,2,-,UC San Diego,1.0,1,84,73
"Sat, Jan 14",Cal State Monterey Bay *,2,T-24,UC San Diego,1.0,1,91,63
"Fri, Jan 20",Sonoma State *,1,-,UC San Diego,1.0,1,73,57
"Sat, Jan 21",Humboldt State *,1,-,UC San Diego,1.0,1,74,49
"Thu, Jan 26",Cal Poly Pomona *,1,22,Pomona,1.0,1,69,53
"Sat, Jan 28",San Francisco State *,1,-,San Francisco,1.0,1,68,55
"Fri, Feb 03",Cal State L.A. *,1,-,UC San Diego,1.0,1,78,63
"Sat, Feb 04",Cal State Dominguez Hills *,1,-,UC San Diego,1.0,1,77,52
"Fri, Feb 10",Chico State *,1,-,UC San Diego,1.0,1,93,76
"Sat, Feb 11",Cal State Stanislaus *,1,-,UC San Diego,1.0,1,85,51
"Fri, Feb 17",Cal State Monterey Bay *,1,-,Monterey,1.0,1,72,64
"Sat, Feb 18",Cal State East Bay *,1,-,Hayward,1.0,1,75,57
"Wed, Feb 22",Humboldt State *,1,-,Arcata,0.0,1,73,74
"Fri, Feb 24",Sonoma State *,1,-,Rohnert Park,1.0,1,78,58
"Tue, Feb 28",Sonoma State,1,-,UC San Diego,1.0,0,70,53
"Fri, Mar 02",Cal State L.A.,1,-,UC San Diego,0.0,0,76,77
"Fri, Mar 09",Chico State,4,-,UC San Diego,1.0,0,84,66
"Sat, Mar 10",Western Washington,4,RV,UC San Diego,1.0,0,81,66
"Mon, Mar 12",Alaska Anchorage,4,8,UC San Diego,0.0,0,63,68
