Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sun, Nov 17",Cal State San Bernardino *,RV,-,San Bernardino,1.0,1,70,65
"Fri, Nov 22",Seattle Pacific,RV,21,Azusa,0.0,0,63,66
"Sat, Nov 23",Western Washington,RV,13,Azusa,1.0,0,72,66
"Fri, Nov 29",Cal State San Bernardino vs. Azusa Pacific,-,-,UC San Diego,,0,50,65
"Fri, Nov 29",Metro State,RV,RV,UC San Diego,1.0,0,62,61
"Sat, Nov 30",Metro State vs. Cal State San Bernardino,-,-,UC San Diego,,0,52,60
"Sat, Nov 30",Azusa Pacific,RV,-,UC San Diego,1.0,0,52,50
"Thu, Dec 05",Humboldt State *,RV,RV,Arcata,1.0,1,71,63
"Sat, Dec 07",Cal Poly Pomona *,RV,RV,Pomona,0.0,1,67,78
"Sun, Dec 22",Cal State San Bernardino *,RV,-,UC San Diego,1.0,1,67,55
"Fri, Jan 03",Cal State Stanislaus *,RV,-,UC San Diego,0.0,1,69,78
"Sat, Jan 04",Chico State *,RV,21,UC San Diego,1.0,1,76,65
"Fri, Jan 10",Cal State East Bay *,-,RV,UC San Diego,0.0,1,58,78
"Sat, Jan 11",Cal State Monterey Bay *,-,-,UC San Diego,1.0,1,40,38
"Fri, Jan 17",Sonoma State *,-,-,Rohnert Park,1.0,1,74,62
"Sat, Jan 18",San Francisco State *,-,-,San Francisco,1.0,1,62,54
"Fri, Jan 24",Cal State Dominguez Hills *,-,-,UC San Diego,0.0,1,67,68
"Sat, Jan 25",Cal State L.A. *,-,-,UC San Diego,1.0,1,78,61
"Fri, Jan 31",Cal Poly Pomona *,-,17,UC San Diego,0.0,1,67,73
"Sat, Feb 01",Humboldt State *,-,-,UC San Diego,0.0,1,50,63
"Fri, Feb 07",Chico State *,-,-,Chico,0.0,1,42,55
"Sat, Feb 08",Cal State Stanislaus *,-,-,Turlock,0.0,1,59,65
"Thu, Feb 13",Cal State Monterey Bay *,-,-,Seaside,1.0,1,56,48
"Sat, Feb 15",Cal State East Bay *,-,-,Hayward,1.0,1,59,50
"Fri, Feb 21",San Francisco State *,-,-,UC San Diego,1.0,1,74,69
"Sat, Feb 22",Sonoma State *,-,-,UC San Diego,1.0,1,62,47
"Fri, Feb 28",Cal State L.A. *,-,-,Los Angeles,1.0,1,68,61
"Sat, Mar 01",Cal State Dominguez Hills *,-,-,Carson,0.0,1,61,71
"Thu, Mar 06",Cal State L.A. (first round),-,-,Ontario,0.0,0,59,60
