Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sat, Nov 14",Cal State San Marcos *,RV,-,UC San Diego,1.0,1,73,60
"Tue, Nov 17",Cal State Dominguez Hills *,RV,RV,Carson,0.0,1,45,69
"Fri, Nov 20",Seattle Pacific,RV,-,Azusa,1.0,0,79,60
"Sat, Nov 21",Western Washington,RV,RV,Azusa,1.0,0,79,56
"Fri, Nov 27",Azusa Pacific vs. Cal State San Bernardino,-,-,UC San Diego,,0,64,62
"Fri, Nov 27",Dominican,RV,-,UC San Diego,1.0,0,95,72
"Sat, Nov 28",Cal State San Bernardino vs. Dominican,-,-,UC San Diego,,0,70,68
"Sat, Nov 28",Azusa Pacific,RV,25,UC San Diego,1.0,0,76,71
"Wed, Dec 02",Sonoma State *,RV,-,Rohnert Park,1.0,1,85,52
"Fri, Dec 04",Cal State Monterey Bay *,RV,-,UC San Diego,1.0,1,74,60
"Sat, Dec 19",Alaska Fairbanks,RV,-,"Anchorage, AK",1.0,0,81,54
"Sun, Dec 20",Alaska Anchorage,RV,5,"Anchorage, AK",0.0,0,72,76
"Fri, Jan 01",Humboldt State *,RV,-,UC San Diego,1.0,1,85,73
"Sat, Jan 02",Cal Poly Pomona *,RV,-,UC San Diego,1.0,1,90,76
"Thu, Jan 07",SF State *,25,-,San Francisco,1.0,1,93,34
"Sat, Jan 09",Cal State L.A. *,25,-,Los Angeles,1.0,1,65,55
"Fri, Jan 15",Cal State East Bay *,23,-,Hayward,1.0,1,56,54
"Sat, Jan 16",Cal State Monterey Bay *,23,-,Seaside,1.0,1,67,57
"Fri, Jan 22",Cal State Dominguez Hills *,21,-,UC San Diego,0.0,1,82,89
"Sat, Jan 23",Cal State L.A. *,21,-,UC San Diego,1.0,1,73,64
"Thu, Jan 28",Humboldt State *,25,-,Arcata,1.0,1,76,51
"Sat, Jan 30",Cal Poly Pomona *,25,-,Pomona,1.0,1,64,50
"Sat, Feb 06",Cal State San Bernardino *,23,-,San Bernardino,1.0,1,65,58
"Fri, Feb 12",Chico State *,22,-,UC San Diego,1.0,1,68,47
"Sat, Feb 13",Stanislaus State *,22,-,UC San Diego,1.0,1,88,81
"Thu, Feb 18",Cal State San Marcos *,20,-,San Marcos,1.0,1,84,56
"Fri, Feb 26",SF State *,20,-,UC San Diego,1.0,1,63,40
"Sat, Feb 27",Sonoma State *,20,-,UC San Diego,1.0,1,75,62
"Tue, Mar 01",Cal Poly Pomona (quarterfinal),19,-,UC San Diego,1.0,0,71,60
"Fri, Mar 04",Cal State East Bay (semifinal),19,RV,Stockton,0.0,0,77,79
"Fri, Mar 11",Cal State East Bay (First Round),21,RV,Azusa (Azusa Pacific),1.0,0,74,59
"Sat, Mar 12",Azusa Pacific (Second Round),21,13,Azusa (Azusa Pacific),1.0,0,87,77
"Mon, Mar 14",Alaska Anchorage (Third Round),21,4,Azusa (Azusa Pacific),0.0,0,57,72
