Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Fri, Feb 05",Central Washington,-,Turlock,2 - 0 (W) STATS,1.0,0
"Fri, Feb 05",Chico State,-,Turlock,2 - 3 (L) 8 STATS,0.0,0
"Fri, Feb 12",Chico State *,-,UC San Diego,0 - 2 (L) STATS,0.0,1
"Fri, Feb 12",Chico State *,-,UC San Diego,6 - 7 (L) STATS,0.0,1
"Sat, Feb 13",Chico State *,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Sat, Feb 13",Chico State *,-,UC San Diego,10 - 9 (W) STATS,1.0,1
"Wed, Feb 17",Cal State San Bernardino,-,UC San Diego,1 - 3 (L) STATS,0.0,0
"Wed, Feb 17",Cal State San Bernardino,-,UC San Diego,7 - 5 (W) STATS,1.0,0
"Fri, Feb 19",Cal State East Bay *,-,UC San Diego,9 - 0 (W) 5 STATS,1.0,1
"Fri, Feb 19",Cal State East Bay *,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Sat, Feb 20",Cal State East Bay *,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sat, Feb 20",Cal State East Bay *,-,UC San Diego,3 - 4 (L) STATS,0.0,1
"Sat, Feb 27",Sonoma State *,-,Santa Rosa,0 - 3 (L) STATS,0.0,1
"Sat, Feb 27",Sonoma State *,-,Santa Rosa,2 - 4 (L) STATS,0.0,1
"Sun, Feb 28",Sonoma State *,-,Santa Rosa,2 - 0 (W) STATS,1.0,1
"Sun, Feb 28",Sonoma State *,-,Santa Rosa,3 - 4 (L) STATS,0.0,1
"Fri, Mar 05",San Francisco State *,-,San Francisco,6 - 1 (W) STATS,1.0,1
"Fri, Mar 05",San Francisco State *,-,San Francisco,3 - 1 (W) STATS,1.0,1
"Sat, Mar 06",San Francisco State *,-,San Francisco,1 - 3 (L) STATS,0.0,1
"Sat, Mar 06",San Francisco State *,-,San Francisco,9 - 2 (W) STATS,1.0,1
"Tue, Mar 09",Dixie State,-,UC San Diego,8 - 2 (W) STATS,1.0,0
"Tue, Mar 09",Dixie State,-,UC San Diego,3 - 2 (W) STATS,1.0,0
"Fri, Mar 12",Cal State Stanislaus *,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Mar 12",Cal State Stanislaus *,-,UC San Diego,5 - 3 (W) STATS,1.0,1
"Sat, Mar 13",Cal State Stanislaus *,-,UC San Diego,5 - 1 (W) STATS,1.0,1
"Sat, Mar 13",Cal State Stanislaus *,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Sun, Mar 21",Cal State San Marcos,-,UC San Diego,2 - 1 (W) STATS,1.0,0
"Sun, Mar 21",Cal State San Marcos,-,UC San Diego,8 - 3 (W) STATS,1.0,0
"Fri, Mar 26",Hawaii Pacific,3,Turlock,0 - 2 (L) STATS,0.0,0
"Fri, Mar 26",Western Oregon,-,Turlock,6 - 3 (W) STATS,1.0,0
"Fri, Mar 26",St. Martin's,-,Turlock,5 - 2 (W) STATS,1.0,0
"Sat, Mar 27",Montana State Billings,-,Turlock,13 - 0 (W) 5 STATS,1.0,0
"Sat, Mar 27",Central Washington,-,Turlock,1 - 0 (W) STATS,1.0,0
"Sun, Mar 28",Dixie State,-,Turlock,2 - 8 (L) STATS,0.0,0
"Fri, Apr 02",Cal State Dominguez Hills *,-,UC San Diego,7 - 0 (W) STATS,1.0,1
"Fri, Apr 02",Cal State Dominguez Hills *,-,UC San Diego,1 - 9 (L) 6 STATS,0.0,1
"Sat, Apr 03",Cal State Dominguez Hills *,-,UC San Diego,4 - 2 (W) STATS,1.0,1
"Sat, Apr 03",Cal State Dominguez Hills *,-,UC San Diego,1 - 10 (L) 5 STATS,0.0,1
"Fri, Apr 09",Humboldt State *,-,Arcata,5 - 1 (W) STATS,1.0,1
"Fri, Apr 09",Humboldt State *,-,Arcata,1 - 2 (L) STATS,0.0,1
"Sat, Apr 10",Humboldt State *,-,Arcata,7 - 2 (W) STATS,1.0,1
"Sat, Apr 10",Humboldt State *,-,Arcata,1 - 5 (L) STATS,0.0,1
"Fri, Apr 16",Cal State Monterey Bay *,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Fri, Apr 16",Cal State Monterey Bay *,-,UC San Diego,5 - 9 (L) STATS,0.0,1
"Sat, Apr 17",Cal State Monterey Bay *,-,UC San Diego,2 - 1 (W) 9 STATS,1.0,1
"Sat, Apr 17",Cal State Monterey Bay *,-,UC San Diego,4 - 5 (L) STATS,0.0,1
"Sat, Apr 24",Cal State San Bernardino *,-,San Bernardino,5 - 1 (W) STATS,1.0,1
"Sat, Apr 24",Cal State San Bernardino *,-,San Bernardino,4 - 7 (L) STATS,0.0,1
"Sun, Apr 25",Cal State San Bernardino *,-,San Bernardino,5 - 2 (W) STATS,1.0,1
"Sun, Apr 25",Cal State San Bernardino *,-,San Bernardino,3 - 6 (L) STATS,0.0,1
