Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Feb 03",Northwest Nazarene University,1,-,UC San Diego,8 - 5 (W) STATS,1.0,0
"Fri, Feb 03",Northwest Nazarene University,1,-,UC San Diego,5 - 2 (W) STATS,1.0,0
"Sat, Feb 04",Northwest Nazarene University,1,-,UC San Diego,8 - 0 (W) (5) STATS,1.0,0
"Sat, Feb 04",Northwest Nazarene University,1,-,UC San Diego,8 - 0 (W) (5) STATS,1.0,0
"Fri, Feb 10",Chico State *,1,15,UC San Diego,7 - 1 (W) STATS,1.0,1
"Fri, Feb 10",Chico State *,1,15,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Feb 11",Chico State *,1,15,UC San Diego,0 - 2 (L) STATS,0.0,1
"Sat, Feb 11",Chico State *,1,15,UC San Diego,1 - 2 (L) STATS,0.0,1
"Fri, Feb 17",Cal State Stanislaus *,1,-,UC San Diego,4 - 1 (W) STATS,1.0,1
"Fri, Feb 17",Cal State Stanislaus *,1,-,UC San Diego,5 - 4 (W) (9) STATS,1.0,1
"Sat, Feb 18",Cal State Stanislaus *,1,-,UC San Diego,8 - 0 (W) (6) STATS,1.0,1
"Sat, Feb 18",Cal State Stanislaus *,1,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Mon, Feb 20",Cal Baptist,1,-,Riverside,0 - 5 (L) STATS,0.0,0
"Mon, Feb 20",Cal Baptist,1,-,Riverside,0 - 4 (L) STATS,0.0,0
"Fri, Feb 24",San Francisco State *,10,-,San Francisco,3 - 0 (W) (8) STATS,1.0,1
"Fri, Feb 24",San Francisco State *,10,-,San Franciso,7 - 3 (W) STATS,1.0,1
"Sat, Feb 25",San Francisco State *,10,-,San Francisco,3 - 4 (L) STATS,0.0,1
"Sat, Feb 25",San Francisco State *,10,-,San Francisco,11 - 6 (W) STATS,1.0,1
"Fri, Mar 02",Cal State San Bernardino *,20,-,San Bernardino,9 - 0 (W) (6) STATS,1.0,1
"Fri, Mar 02",Cal State San Bernardino *,20,-,San Bernardino,10 - 1 (W) (5) STATS,1.0,1
"Sat, Mar 03",Cal State San Bernardino *,20,-,San Bernardino,3 - 2 (W) STATS,1.0,1
"Sat, Mar 03",Cal State San Bernardino *,20,-,San Bernardino,4 - 5 (L) STATS,0.0,1
"Wed, Mar 07",Felician College,22,-,UC San Diego,12 - 1 (W) (5) STATS,1.0,0
"Wed, Mar 07",Felician College,22,-,UC San Diego,7 - 0 (W) STATS,1.0,0
"Fri, Mar 09",Cal State Dominguez Hills *,22,5,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Mar 09",Cal State Dominguez Hills *,22,5,UC San Diego,3 - 4 (L) (10) STATS,0.0,1
"Sat, Mar 10",Cal State Dominguez Hills,22,5,UC San Diego,5 - 2 (W) STATS,1.0,0
"Sat, Mar 10",Cal State Dominguez Hills *,22,5,UC San Diego,7 - 5 (W) STATS,1.0,1
"Tue, Mar 13",Humboldt State *,22,-,UC San Diego,11 - 0 (W) (5) STATS,1.0,1
"Tue, Mar 13",Humboldt State *,22,-,UC San Diego,5 - 2 (W) STATS,1.0,1
"Wed, Mar 14",Humboldt State *,21,-,UC San Diego,8 - 0 (W) (6) STATS,1.0,1
"Wed, Mar 14",Humboldt State *,21,-,UC San Diego,9 - 1 (W) (5) STATS,1.0,1
"Mon, Mar 26",Cal State East Bay *,14,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Mon, Mar 26",Cal State East Bay *,14,-,UC San Diego,2 - 5 (L) (8) STATS,0.0,1
"Tue, Mar 27",Cal State East Bay *,14,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Tue, Mar 27",Cal State East Bay *,14,-,UC San Diego,5 - 7 (L) STATS,0.0,1
"Fri, Mar 30",Central Washington,20,-,Turlock,5 - 0 (W) STATS,1.0,0
"Fri, Mar 30",Grand Canyon,20,-,Turlock,1 - 4 (L) STATS,0.0,0
"Fri, Mar 30",Hawaii Hilo,20,-,Turlock,3 - 7 (L) STATS,0.0,0
"Sat, Mar 31",Hawaii Pacific,20,-,Turlock,3 - 2 (W) STATS,1.0,0
"Sat, Mar 31",Notre Dame de Namur,20,-,Turlock,2 - 1 (W) STATS,1.0,0
"Sun, Apr 01",Western Washington,20,-,Turlock,0 - 1 (L) STATS,0.0,0
"Fri, Apr 06",Sonoma State *,RV,RV,Rohnert Park,3 - 0 (W) STATS,1.0,1
"Fri, Apr 06",Sonoma State *,RV,RV,Rohnert Park,0 - 1 (L) STATS,0.0,1
"Sat, Apr 07",Sonoma State *,RV,RV,Rohnert Park,1 - 0 (W) (8) STATS,1.0,1
"Sat, Apr 07",Sonoma State *,RV,RV,Rohnert Park,3 - 0 (W) STATS,1.0,1
"Fri, Apr 20",Cal State Monterey Bay *,24,7,UC San Diego,0 - 5 (L) STATS,0.0,1
"Fri, Apr 20",Cal State Monterey Bay *,24,7,UC San Diego,5 - 6 (L) STATS,0.0,1
"Sat, Apr 21",Cal State Monterey Bay *,24,7,UC San Diego,3 - 5 (L) STATS,0.0,1
"Sat, Apr 21",Cal State Monterey Bay *,24,7,UC San Diego,4 - 5 (L) (8) STATS,0.0,1
"Fri, Apr 27",Cal State Dominguez Hills,RV,9,Stockton,1 - 0 (W) STATS,1.0,0
"Sat, Apr 28",Chico State,RV,19,Stockton,3 - 2 (W) STATS,1.0,0
"Sun, Apr 29",Cal State Monterey Bay,RV,6,Stockton,5 - 9 (L) STATS,0.0,0
"Sun, Apr 29",Cal State Monterey Bay,RV,6,Stockton,4 - 1 (W) STATS,1.0,0
"Fri, May 04",Dixie State,24,RV,Seaside,2 - 3 (L) STATS,0.0,0
"Sat, May 05",Montana State-Billings,24,-,Seaside,4 - 0 (W) STATS,1.0,0
"Sat, May 05",Cal State Monterey Bay,24,7,Seaside,5 - 0 (W) STATS,1.0,0
"Sun, May 06",Dixie State,24,RV,Seaside,3 - 2 (W) STATS,1.0,0
"Sun, May 06",Dixie State,24,RV,Seaside,10 - 0 (W) (5) STATS,1.0,0
"Fri, May 11",Cal State Dominguez Hills,24,10,Carson,3 - 4 (L) STATS,0.0,0
"Sat, May 12",Cal State Dominguez Hills,24,10,Carson,1 - 0 (W) (8) STATS,1.0,0
"Sat, May 12",Cal State Dominguez Hills,24,10,Carson,1 - 0 (W) STATS,1.0,0
"Wed, May 16",Valdosta State,24,1,"Louisville, Ky.",7 - 5 (W) STATS,1.0,0
"Thu, May 17",Kutztown,24,3,"Louisville, Ky.",0 - 1 (L) (12) STATS,0.0,0
"Fri, May 18",St. Joseph's (IN),24,-,"Lousiville, Ky.",2 - 1 (W) (11) STATS,1.0,0
"Fri, May 18",Central Oklahoma,24,2,"Louisville, Ky.",4 - 3 (W) (9) STATS,1.0,0
"Sat, May 19",Central Oklahoma,24,2,"Louisville, Ky.",2 - 0 (W) STATS,1.0,0
"Sat, May 19",Valdosta State,24,1,"Louisville, Ky.",1 - 4 (L) STATS,0.0,0
