Year,SD points,Opp,Difference,Wins
2013,8,1,7,1
2013,2,7,-5,0
2013,1,3,-2,0
2013,7,3,4,1
2013,4,2,2,1
2013,7,8,-1,0
2013,6,5,1,1
2013,4,6,-2,0
2013,1,0,1,1
2013,7,0,7,1
2013,9,7,2,1
2013,12,4,8,1
2013,10,2,8,1
2013,5,10,-5,0
2013,2,6,-4,0
2013,4,3,1,1
2013,1,3,-2,0
2013,10,6,4,1
2013,4,5,-1,0
2013,10,3,7,1
2013,12,0,12,1
2013,5,2,3,1
2013,6,3,3,1
2013,4,3,1,1
2013,13,2,11,1
2013,2,0,2,1
2013,13,4,9,1
2013,5,4,1,1
2013,10,1,9,1
2013,4,3,1,1
2013,6,7,-1,0
2013,17,3,14,1
2013,1,3,-2,0
2013,6,4,2,1
2013,9,2,7,1
2013,9,6,3,1
2013,6,4,2,1
2013,3,4,-1,0
2014,8,0,8,1
2014,12,4,8,1
2014,2,1,1,1
2014,0,3,-3,0
2014,12,0,12,1
2014,2,0,2,1
2014,19,0,19,1
2014,1,3,-2,0
2014,5,0,5,1
2014,9,3,6,1
2014,10,21,-11,0
2014,10,2,8,1
2014,6,0,6,1
2014,10,7,3,1
2014,4,3,1,1
2014,4,2,2,1
2014,11,5,6,1
2014,1,2,-1,0
2014,10,1,9,1
2014,4,3,1,1
2014,4,1,3,1
2014,3,5,-2,0
2014,4,3,1,1
2014,4,3,1,1
2014,2,5,-3,0
2014,3,8,-5,0
2014,7,11,-4,0
2014,8,0,8,1
2014,5,0,5,1
2014,4,10,-6,0
2014,6,7,-1,0
2014,11,0,11,1
2014,10,0,10,1
2014,2,0,2,1
2014,1,2,-1,0
2014,18,1,17,1
2014,2,3,-1,0
2015,9,4,5,1
2015,20,4,16,1
2015,5,3,2,1
2015,16,5,11,1
2015,2,3,-1,0
2015,7,3,4,1
2015,1,9,-8,0
2015,6,5,1,1
2015,2,9,-7,0
2015,8,9,-1,0
2015,14,4,10,1
2015,0,2,-2,0
2015,6,3,3,1
2015,2,1,1,1
2015,2,3,-1,0
2015,0,7,-7,0
2015,6,7,-1,0
2015,2,7,-5,0
2015,11,10,1,1
2015,10,2,8,1
2015,8,11,-3,0
2015,3,2,1,1
2015,0,1,-1,0
2015,6,5,1,1
2015,8,7,1,1
2015,3,2,1,1
2015,3,4,-1,0
2015,2,8,-6,0
2015,7,1,6,1
2015,2,5,-3,0
2015,7,6,1,1
