Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Jan 04",Lewis,RV,5,Santa Barbara,3 - 2 (W) STATS NOTES,1.0,0
"Fri, Jan 04",UCLA,RV,6,Santa Barbara,2 - 3 (L) STATS NOTES,0.0,0
"Sat, Jan 05",Long Beach State,RV,7,Santa Barbara,2 - 3 (L) STATS NOTES,0.0,0
"Thu, Jan 10",USC *,14,8,UC San Diego,3 - 0 (W) STATS NOTES,1.0,1
"Sat, Jan 12",Pepperdine *,14,4,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Thu, Jan 17",Cal Baptist *,13,14,UC San Diego,3 - 2 (W) STATS NOTES,1.0,1
"Sat, Jan 19",BYU *,13,3,"Provo, UT",0 - 3 (L) STATS NOTES,0.0,1
"Fri, Jan 25",Cal State Northridge *,12,9,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Jan 26",Long Beach State *,12,7,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Wed, Jan 30",Princeton,13,-,UC San Diego,3 - 1 (W) STATS NOTES,1.0,0
"Fri, Feb 01",UC Santa Barbara *,13,12,Santa Barbara,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 02",UCLA *,13,5,Los Angeles,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 08",Pacific *,RV,11,Stockton,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 09",Stanford *,RV,4,Stanford,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 15",UC Santa Barbara *,RV,15,UC San Diego,3 - 0 (W) STATS NOTES,1.0,1
"Sat, Feb 16",UC Irvine *,RV,1,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 22",Hope International,RV,-,Fullerton,3 - 0 (W) STATS NOTES,1.0,0
"Sat, Feb 23",Alumni,-,-,UC San Diego,,,0
"Fri, Mar 01",Cal Baptist *,RV,12,Riverside,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 02",BYU *,RV,2,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Mar 06",Long Beach State *,RV,3,Long Beach,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 08",Cal State Northridge *,RV,7,Northridge,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 15",Pepperdine *,-,4,Malibu,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 16",USC *,-,14,Los Angeles,3 - 2 (W) STATS NOTES,1.0,1
"Fri, Mar 29",UCLA *,RV,4,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Sun, Mar 31",UC Irvine *,RV,2,Irvine,2 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 05",Pacific *,RV,RV,UC San Diego,2 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 06",Stanford *,RV,8,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 12",Hawai'i *,-,14,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 13",Hawai'i *,-,14,UC San Diego,2 - 3 (L) STATS NOTES,0.0,1
