Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Wed, Jan 11",Long Beach State*,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Jan 13",Ohio State,10,"Columbus, OH",1 - 3 (L) STATS,0.0,0
"Sun, Jan 15",Ohio State,10,"Columbus, OH",1 - 3 (L) STATS,0.0,0
"Thu, Jan 19",Stanford*,15,Palo Alto,0 - 3 (L) STATS,0.0,1
"Fri, Jan 20",Pacific*,14,Stockton,1 - 3 (L) STATS,0.0,1
"Fri, Jan 27",Pepperdine*,3,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Jan 28",USC*,13,UC San Diego,0 - 3 (L) STATS,0.0,1
"Wed, Feb 01",Princeton,-,UC San Diego,3 - 1 (W) STATS,1.0,0
"Thu, Feb 02",UC Santa Barbara*,9,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Feb 10",Long Beach State*,4,Long Beach,0 - 3 (L) STATS,0.0,1
"Sat, Feb 11",Cal Baptist,1,Riverside,0 - 3 (L) STATS,0.0,0
"Thu, Feb 16",BYU*,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Feb 18",BYU*,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Feb 24",UCLA*,7,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Feb 25",UC Irvine*,2,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Mar 03",UC Santa Barbara*,8,Santa Barbara,0 - 3 (L) STATS,0.0,1
"Sat, Mar 04",Cal State Northridge*,6,Northridge,0 - 3 (L) STATS,0.0,1
"Wed, Mar 08",Qunicy,-,UC San Diego,0 - 3 (L) STATS,0.0,0
"Fri, Mar 10",USC*,14,Los Angeles,0 - 3 (L) STATS,0.0,1
"Sat, Mar 11",Pepperdine*,3,Malibu,0 - 3 (L) STATS,0.0,1
"Wed, Mar 15",George Mason,15,UC San Diego,1 - 3 (L) STATS,0.0,0
"Fri, Mar 17",Cal State Northridge*,6,UC San Diego,0 - 3 (L) STATS,0.0,1
"Thu, Mar 30",UC Irvine*,1,Irvine,0 - 3 (L) STATS,0.0,1
"Sat, Apr 01",UCLA*,8,Los Angeles,1 - 3 (L) STATS,0.0,1
"Wed, Apr 05",Cal Baptist,1,UC San Diego,2 - 3 (L) STATS,0.0,0
"Fri, Apr 07",Hawai'i*,3,Honolulu,1 - 3 (L) STATS,0.0,1
"Sat, Apr 08",Hawai'i*,3,Honolulu,0 - 3 (L) STATS,0.0,1
"Fri, Apr 14",Stanford*,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Sat, Apr 15",Pacific*,-,UC San Diego,1 - 3 (L) STATS,0.0,1
