Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Jan 07",UCLA,13,8,Santa Barbara,2 - 3 (L),0.0,0
"Thu, Jan 07",UC Irvine,13,2,Santa Barbara,1 - 3 (L),0.0,0
"Fri, Jan 08",UC Santa Barbara,13,14,Santa Barbara,3 - 2 (W) STATS,1.0,0
"Wed, Jan 13",Cal State Northridge *,11,2,Northridge,0 - 3 (L) STATS,0.0,1
"Sat, Jan 16",UC Santa Barbara *,11,14,Santa Barbara,2 - 3 (L) STATS,0.0,1
"Wed, Jan 20",Pepperdine *,12,7,Malibu,3 - 1 (W) STATS,1.0,1
"Fri, Jan 22",USC *,12,1,Los Angeles,0 - 3 (L) STATS,0.0,1
"Wed, Jan 27",Princeton,12,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Fri, Jan 29",Long Beach State *,12,8,Long Beach,0 - 3 (L) STATS,0.0,1
"Fri, Feb 05",Long Beach State *,13,6,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Feb 06",Hope International,13,-,Fullerton,3 - 0 (W) STATS,1.0,0
"Fri, Feb 12",Cal State Northridge *,13,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Feb 13",UC Santa Barbara *,13,10,UC San Diego,2 - 3 (L) STATS,0.0,1
"Fri, Feb 19",BYU *,14,5,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Feb 20",BYU *,14,5,UC San Diego,0 - 3 (L) STATS,0.0,1
"Wed, Feb 24",UCLA *,14,3,Los Angeles,3 - 0 (W) STATS,1.0,1
"Fri, Feb 26",UC Irvine *,14,11,Irvine,1 - 3 (L) STATS,0.0,1
"Fri, Mar 05",Stanford *,14,2,Palo Alto,1 - 3 (L) STATS,0.0,1
"Sat, Mar 06",Pacific *,14,-,Stockton,3 - 1 (W) STATS,1.0,1
"Fri, Mar 12",Lewis,13,15,"Romeoville, IL",3 - 0 (W) STATS,1.0,0
"Sat, Mar 13",Lewis,13,15,"Romeoville, IL",2 - 3 (L) STATS,0.0,0
"Fri, Mar 26",Stanford *,14,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Mar 27",Pacific *,14,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Apr 02",Hawaii *,14,4,"Honolulu, HI",1 - 3 (L) STATS,0.0,1
"Sat, Apr 03",Hawaii *,14,4,"Honolulu, HI",0 - 3 (L) STATS,0.0,1
"Fri, Apr 09",UC Irvine *,14,10,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Apr 10",UCLA *,14,7,UC San Diego,3 - 1 (W) STATS,1.0,1
"Wed, Apr 14",Cal Baptist,14,-,UC San Diego,3 - 1 (W) STATS,1.0,0
"Fri, Apr 16",USC *,14,6,UC San Diego,2 - 3 (L) STATS,0.0,1
"Sat, Apr 17",Pepperdine *,14,3,UC San Diego,3 - 2 (W) STATS,1.0,1
