Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Jan 07",UCLA,RV,9,Santa Barbara,1 - 3 (L) STATS,0.0,0
"Fri, Jan 07",Cal State Northridge,RV,12,Santa Barbara,1 - 3 (L) STATS,0.0,0
"Sat, Jan 08",Cal Baptist,RV,-,Santa Barbara,3 - 1 (W) STATS,1.0,0
"Wed, Jan 12",UC Irvine *,RV,7,Irvine,3 - 1 (W) STATS,1.0,1
"Fri, Jan 14",UC Santa Barbara *,RV,5,UC San Diego,0 - 3 (L) STATS,0.0,1
"Fri, Jan 21",USC *,15,1,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Jan 22",Cal Baptist,15,-,Riverside,1 - 3 (L) STATS,0.0,0
"Wed, Jan 26",Princeton,15,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Fri, Jan 28",Hawaii *,15,11,UC San Diego,3 - 2 (W) STATS,1.0,1
"Sat, Jan 29",Hawaii *,15,11,UC San Diego,1 - 3 (L) STATS,0.0,1
"Tue, Feb 01",Hope International,12,-,UC San Diego,3 - 0 (W) STATS,1.0,0
"Fri, Feb 04",Pepperdine *,12,11,UC San Diego,1 - 3 (L) STATS,0.0,1
"Thu, Feb 10",Pacific *,12,15,Stockton,1 - 3 (L) STATS,0.0,1
"Fri, Feb 11",Stanford *,12,4,Stanford,3 - 0 (W) STATS,1.0,1
"Fri, Feb 18",Long Beach State *,12,3,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sat, Feb 19",Cal State Northridge *,12,RV,UC San Diego,1 - 3 (L) STATS,0.0,1
"Thu, Feb 24",BYU *,13,2,"Provo, Utah",2 - 3 (L) STATS,0.0,1
"Fri, Feb 25",BYU *,13,2,"Provo, Utah",0 - 3 (L) STATS,0.0,1
"Fri, Mar 04",Pacific *,13,15,UC San Diego,0 - 3 (L) STATS,0.0,1
"Sat, Mar 05",Stanford *,13,3,UC San Diego,1 - 3 (L) STATS,0.0,1
"Fri, Mar 11",USC *,15,1,Los Angeles,0 - 3 (L) STATS,0.0,1
"Sat, Mar 12",Pepperdine *,15,11,Malibu,3 - 2 (W) STATS,1.0,1
"Thu, Mar 24",Ohio State,14,3,UC San Diego,3 - 1 (W) STATS,1.0,0
"Sat, Mar 26",UCLA *,14,7,UC San Diego,0 - 3 (L) STATS,0.0,1
"Thu, Mar 31",UC Santa Barbara *,12,8,Santa Barbara,0 - 3 (L) STATS,0.0,1
"Fri, Apr 01",UCLA *,12,5,Los Angeles,3 - 0 (W) STATS,1.0,1
"Thu, Apr 07",Cal State Northridge *,11,-,Northridge,0 - 3 (L) STATS,0.0,1
"Sat, Apr 09",Long Beach State *,11,5,Long Beach,1 - 3 (L) STATS,0.0,1
"Sat, Apr 16",UC Irvine *,11,3,UC San Diego,0 - 3 (L) STATS,0.0,1
