Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Wed, Jan 07",Concordia,-,Irvine,1 - 3 (L) STATS NOTES,0.0,0
"Sat, Jan 10",Grand Canyon,-,"Phoenix, AZ",3 - 2 (W) STATS NOTES,1.0,0
"Wed, Jan 14",Long Beach State *,11,Long Beach,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Jan 16",CSUN *,15,Northridge,0 - 3 (L) STATS NOTES,0.0,1
"Thu, Jan 22",USC *,5,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Jan 23",California Baptist *,-,Riverside,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Jan 28",Princeton,RV,UC San Diego,0 - 3 (L) STATS NOTES,0.0,0
"Fri, Jan 30",BYU *,7,"Provo, UT",0 - 3 (L) STATS NOTES,0.0,1
"Sat, Jan 31",BYU *,7,"Provo, UT",0 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 06",Concordia,-,UC San Diego,0 - 3 (L) STATS NOTES,0.0,0
"Sat, Feb 07",UC Irvine *,5,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 13",Pepperdine *,4,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 14",Stanford *,RV,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Fri, Feb 20",Pepperdine *,6,Malibu,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Feb 25",Holy Names,-,UC San Diego,3 - 0 (W) STATS NOTES,1.0,0
"Fri, Feb 27",UC Santa Barbara *,8,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Feb 28",UCLA *,9,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Wed, Mar 04",USC *,7,Los Angeles,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 06",California Baptist *,-,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 07",Ball State,12,UC San Diego,0 - 3 (L) STATS NOTES,0.0,0
"Fri, Mar 13",Stanford *,13,Stanford,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Mar 27",Hawai'i *,1,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Mar 28",Hawai'i *,1,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 03",CSUN *,13,UC San Diego,1 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 04",Long Beach State *,10,UC San Diego,0 - 3 (L) STATS NOTES,0.0,1
"Fri, Apr 10",UC Santa Barbara *,9,Santa Barbara,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 11",UCLA *,12,Los Angeles,0 - 3 (L) STATS NOTES,0.0,1
"Sat, Apr 18",UC Irvine *,4,Irvine,0 - 3 (L) STATS NOTES,0.0,1
