Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Feb 02",Western Oregon,-,-,UC San Diego,7 - 10 (L) STATS,0.0,0
"Sat, Feb 03",Western Oregon,-,-,UC San Diego,5 - 3 (W) STATS,1.0,0
"Sat, Feb 03",Western Oregon,-,-,UC San Diego,4 - 3 (W) STATS,1.0,0
"Sun, Feb 04",Western Oregon,-,-,UC San Diego,14 - 11 (W) STATS,1.0,0
"Tue, Feb 06",San Diego Christian College,23,-,UC San Diego,5 - 17 (L) STATS,0.0,0
"Fri, Feb 09",Grand Canyon,23,-,"Phoenix, AZ",9 - 11 (L) STATS,0.0,0
"Sat, Feb 10",Grand Canyon,23,-,"Phoenix, AZ",7 - 9 (L) STATS,0.0,0
"Sat, Feb 10",Grand Canyon,23,-,"Phoenix, AZ",13 - 5 (W) STATS,1.0,0
"Fri, Feb 16",Regis,-,-,UC San Diego,22 - 0 (W) STATS,1.0,0
"Sat, Feb 17",Regis,-,-,UC San Diego,16 - 5 (W) STATS,1.0,0
"Sat, Feb 17",Regis,-,-,UC San Diego,2 - 1 (W) STATS,1.0,0
"Sun, Feb 18",Regis,-,-,UC San Diego,13 - 7 (W) STATS,1.0,0
"Thu, Feb 22",Cal Poly Pomona*,-,-,Pomona,3 - 4 (L) STATS,0.0,1
"Fri, Feb 23",Cal Poly Pomona*,-,-,Pomona,2 - 1 (W) STATS,1.0,1
"Sat, Feb 24",Cal Poly Pomona*,-,-,UC San Diego,12 - 4 (W) STATS,1.0,1
"Sat, Feb 24",Cal Poly Pomona*,-,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Fri, Mar 02",Sonoma State*,-,-,Sonoma,2 - 4 (L) STATS,0.0,1
"Sat, Mar 03",Sonoma State*,-,-,Sonoma,1 - 6 (L) STATS,0.0,1
"Sat, Mar 03",Sonoma State*,-,-,Sonoma,5 - 3 (W) STATS,1.0,1
"Sun, Mar 04",Sonoma State*,-,-,Sonoma,0 - 2 (L) STATS,0.0,1
"Fri, Mar 09",San Francisco State*,-,-,UC San Diego,10 - 3 (W) STATS,1.0,1
"Sat, Mar 10",San Francisco State*,-,-,UC San Diego,7 - 2 (W) STATS,1.0,1
"Sat, Mar 10",San Francisco State*,-,-,UC San Diego,4 - 1 (W) STATS,1.0,1
"Sun, Mar 11",San Francisco State*,-,-,UC San Diego,6 - 5 (W) 11inn STATS,1.0,1
"Thu, Mar 15",Cal State San Bernardino*,-,-,San Bernardino,9 - 6 (W) STATS,1.0,1
"Fri, Mar 16",Cal State San Bernardino*,-,-,San Bernardino,13 - 7 (W) STATS,1.0,1
"Sat, Mar 17",Cal State San Bernardino*,-,-,UC San Diego,9 - 2 (W) STATS,1.0,1
"Sat, Mar 17",Cal State San Bernardino*,-,-,UC San Diego,3 - 4 (L) STATS,0.0,1
"Sun, Mar 25",Hawai'i Pacific,-,-,UC San Diego,4 - 9 (L) STATS,0.0,0
"Sun, Mar 25",Hawai'i Pacific,-,-,UC San Diego,12 - 3 (W) STATS,1.0,0
"Mon, Mar 26",Hawai'i Pacific,-,-,UC San Diego,8 - 3 (W) STATS,1.0,0
"Mon, Mar 26",Hawai'i Pacific,-,-,UC San Diego,5 - 8 (L) STATS,0.0,0
"Thu, Mar 29",Cal State Dominguez Hills*,-,-,UC San Diego,8 - 3 (W) STATS,1.0,1
"Fri, Mar 30",Cal State Dominguez Hills*,-,-,UC San Diego,13 - 6 (W) STATS,1.0,1
"Sat, Mar 31",Cal State Dominguez Hills*,-,-,Carson,10 - 6 (W) STATS,1.0,1
"Sat, Mar 31",Cal State Dominguez Hills*,-,-,Carson,9 - 14 (L) STATS,0.0,1
"Tue, Apr 03",Cal State San Marcos,-,-,UC San Diego,9 - 12 (L) STATS,0.0,0
"Fri, Apr 06",Grand Canyon,-,-,UC San Diego,14 - 2 (W) STATS,1.0,0
"Sat, Apr 07",Grand Canyon,-,-,UC San Diego,2 - 7 (L) STATS,0.0,0
"Fri, Apr 13",Cal State Monterey Bay*,-,-,Monterey,13 - 8 (W) STATS,1.0,1
"Sun, Apr 15",Cal State Monterey Bay*,-,-,Monterey,7 - 6 (W) STATS,1.0,1
"Sun, Apr 15",Cal State Monterey Bay*,-,-,Monterey,26 - 5 (W) STATS,1.0,1
"Mon, Apr 16",Cal State Monterey Bay*,-,-,Monterey,9 - 8 (W) STATS,1.0,1
"Fri, Apr 20",Chico State*,-,12,Chico,2 - 5 (L) STATS,0.0,1
"Fri, Apr 20",Chico State*,-,12,Chico,10 - 7 (W) STATS,1.0,1
"Sat, Apr 21",Chico State*,-,12,Chico,3 - 4 (L) STATS,0.0,1
"Sun, Apr 22",Chico State*,-,12,Chico,4 - 16 (L) STATS,0.0,1
"Fri, Apr 27",Cal State Stanislaus*,-,-,UC San Diego,1 - 7 (L) STATS,0.0,1
"Sat, Apr 28",Cal State Stanislaus*,-,-,UC San Diego,5 - 2 (W) STATS,1.0,1
"Sat, Apr 28",Cal State Stanislaus*,-,-,UC San Diego,8 - 1 (W) STATS,1.0,1
"Sun, Apr 29",Cal State Stanislaus*,-,-,UC San Diego,11 - 5 (W) STATS,1.0,1
"Tue, May 01",Point Loma,-,-,PETCO Park,1 - 6 (L) STATS,0.0,0
"Thu, May 03",Cal State L.A.*,-,5,UC San Diego,6 - 0 (W) STATS,1.0,1
"Fri, May 04",Cal State L.A.*,-,5,UC San Diego,9 - 3 (W) STATS,1.0,1
"Sat, May 05",Cal State L.A.*,-,5,Los Angeles,6 - 11 (L) STATS,0.0,1
"Sat, May 05",Cal State L.A.*,-,5,Los Angeles,8 - 9 (L) STATS,0.0,1
"Thu, May 10",Sonoma State,24,2,Los Angeles,6 - 7 (L) STATS,0.0,0
"Fri, May 11",Cal State L.A.,24,3,Los Angeles,7 - 2 (W) STATS,1.0,0
"Fri, May 11",Chico State,24,9,Los Angeles,8 - 6 (W) STATS,1.0,0
"Sat, May 12",Sonoma State,24,2,Los Angeles,5 - 15 (L) STATS,0.0,0
"Thu, May 17",Mesa State,22,16,Los Angeles,4 - 5 (L) STATS,0.0,0
"Fri, May 18",Sonoma State,22,1,Los Angeles,3 - 10 (L) STATS,0.0,0
