Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Wed, Jan 26",San Diego Christian College (Exhibition),2,-,UC San Diego,2 - 1 (W),1.0,0
"Sat, Jan 29",Point Loma (Exhibition),2,-,UC San Diego,5 - 0 (W),1.0,0
"Tue, Feb 01",San Diego Christian College (Scrimmage),2,-,UC San Diego,,,0
"Fri, Feb 04",Western Oregon,2,RV,UC San Diego,4 - 1 (W) STATS,1.0,0
"Sat, Feb 05",Western Oregon,2,RV,UC San Diego,10 - 2 (W) STATS,1.0,0
"Sat, Feb 05",Western Oregon,2,RV,UC San Diego,6 - 1 (W) STATS,1.0,0
"Sun, Feb 06",Western Oregon,2,RV,UC San Diego,5 - 7 (L) STATS,0.0,0
"Fri, Feb 11",Mesa State,2,17,UC San Diego,6 - 1 (W) STATS,1.0,0
"Sat, Feb 12",Mesa State,2,17,UC San Diego,3 - 2 (W) (11) STATS,1.0,0
"Sat, Feb 12",Mesa State,2,17,UC San Diego,3 - 0 (W) STATS,1.0,0
"Sun, Feb 13",Mesa State,2,17,UC San Diego,7 - 6 (W) STATS,1.0,0
"Sat, Feb 19",Cal State East Bay *,1,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sat, Feb 19",Cal State East Bay *,1,-,UC San Diego,10 - 4 (W) STATS,1.0,1
"Sun, Feb 20",Cal State East Bay *,1,-,UC San Diego,4 - 8 (L) STATS,0.0,1
"Sun, Feb 20",Cal State East Bay *,1,-,UC San Diego,7 - 2 (W) STATS,1.0,1
"Sat, Feb 26",Cal State Monterey Bay *,1,-,Seaside,8 - 3 (W) STATS,1.0,1
"Sat, Feb 26",Cal State Monterey Bay *,1,-,Seaside,3 - 5 (L) STATS,0.0,1
"Sun, Feb 27",Cal State Monterey Bay *,1,-,Seaside,7 - 8 (L) STATS,0.0,1
"Sun, Feb 27",Cal State Monterey Bay *,1,-,Seaside,4 - 3 (W) STATS,1.0,1
"Fri, Mar 04",San Francisco State *,3,-,UC San Diego,7 - 1 (W) STATS,1.0,1
"Sat, Mar 05",San Francisco State *,3,-,UC San Diego,10 - 2 (W) STATS,1.0,1
"Sat, Mar 05",San Francisco State *,3,-,UC San Diego,3 - 5 (L) STATS,0.0,1
"Sun, Mar 06",San Francisco State *,3,-,UC San Diego,13 - 3 (W),1.0,1
"Thu, Mar 10",Cal State Dominguez Hills *,3,-,Carson,3 - 4 (L) STATS,0.0,1
"Fri, Mar 11",Cal State Dominguez Hills *,3,-,Carson,2 - 8 (L) STATS,0.0,1
"Sat, Mar 12",Cal State Dominguez Hills *,3,-,UC San Diego,10 - 8 (W) STATS,1.0,1
"Sat, Mar 12",Cal State Dominguez Hills *,3,-,UC San Diego,7 - 0 (W) STATS,1.0,1
"Thu, Mar 24",Cal Poly Pomona *,8,RV,UC San Diego,5 - 2 (W) STATS,1.0,1
