Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Jan 17",San Diego Christian (exhibition),39,22,UC San Diego,4 - 0 STATS NOTES,,0
"Tue, Jan 21",Cal State San Marcos (exhibition),39,16,UC San Diego,19 - 0 STATS NOTES,,0
"Tue, Jan 28",Vanguard (exhibition),39,-,UC San Diego,13 - 0 STATS NOTES,,0
"Sun, Feb 02",Holy Names,39,-,UC San Diego,11 - 1 (W) STATS NOTES,1.0,0
"Sun, Feb 02",Holy Names,39,-,UC San Diego,9 - 0 (W) STATS NOTES,1.0,0
"Sat, Feb 08",Cal State L.A.,39,-,UC San Diego,0 - 2 (L) STATS NOTES,0.0,0
"Sat, Feb 08",Cal State L.A.,39,-,UC San Diego,9 - 3 (W) STATS NOTES,1.0,0
"Sun, Feb 09",Cal State L.A.,39,-,Los Angeles,8 - 9 (L) STATS NOTES,0.0,0
"Fri, Feb 14",Chico State *,39,12,UC San Diego,8 - 1 (W) STATS NOTES,1.0,1
"Sat, Feb 15",Chico State *,39,12,UC San Diego,2 - 7 (L) STATS NOTES,0.0,1
"Sat, Feb 15",Chico State *,39,12,UC San Diego,1 - 3 (L) (7) STATS NOTES,0.0,1
"Sun, Feb 16",Chico State *,39,12,UC San Diego,7 - 3 (W) STATS NOTES,1.0,1
"Thu, Feb 20",Cal Poly Pomona *,-,15,Pomona,4 - 2 (W) STATS NOTES,1.0,1
"Fri, Feb 21",Cal Poly Pomona *,-,15,Pomona,7 - 8 (L) (11) STATS NOTES,0.0,1
"Sat, Feb 22",Cal Poly Pomona *,-,15,UC San Diego,6 - 5 (W) STATS NOTES,1.0,1
"Sat, Feb 22",Cal Poly Pomona *,-,15,UC San Diego,4 - 6 (L) (7) STATS NOTES,0.0,1
"Fri, Feb 28",Sonoma State *,-,RV,UC San Diego,Cancelled NOTES,,1
"Sat, Mar 01",Sonoma State *,-,RV,UC San Diego,Cancelled NOTES,,1
"Sat, Mar 01",Sonoma State *,-,RV,UC San Diego,Cancelled NOTES,,1
"Sun, Mar 02",Sonoma State *,-,RV,UC San Diego,Cancelled NOTES,,1
"Thu, Mar 06",Cal State Dominguez Hills *,-,-,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Fri, Mar 07",Cal State Dominguez Hills *,-,-,UC San Diego,7 - 0 (W) STATS NOTES,1.0,1
"Sat, Mar 08",Cal State Dominguez Hills *,-,-,Carson,9 - 7 (W) STATS NOTES,1.0,1
"Sat, Mar 08",Cal State Dominguez Hills *,-,-,Carson,12 - 4 (W) (6) STATS NOTES,1.0,1
"Fri, Mar 14",Cal State Monterey Bay *,RV,-,UC San Diego,10 - 2 (W) STATS NOTES,1.0,1
"Sat, Mar 15",Cal State Monterey Bay *,RV,-,UC San Diego,5 - 10 (L) STATS NOTES,0.0,1
"Sat, Mar 15",Cal State Monterey Bay *,RV,-,UC San Diego,2 - 6 (L) (7) STATS NOTES,0.0,1
"Sun, Mar 16",Cal State Monterey Bay *,RV,-,UC San Diego,4 - 3 (W) STATS NOTES,1.0,1
"Mon, Mar 24",Azusa Pacific,30,-,Azusa,1 - 3 (L) STATS NOTES,0.0,0
"Tue, Mar 25",Azusa Pacific,30,-,Azusa,10 - 6 (W) STATS NOTES,1.0,0
