Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Mon, Feb 01",San Diego Christian,3,-,UC San Diego,16 - 4 (W) STATS,1.0,0
"Tue, Feb 02",Point Loma Nazarene,3,-,UC San Diego,6 - 8 (L) STATS,0.0,0
"Fri, Feb 05",Western Oregon,3,18,UC San Diego,12 - 6 (W) STATS,1.0,0
"Sun, Feb 07",Western Oregon,3,18,UC San Diego,5 - 4 (W) STATS,1.0,0
"Sun, Feb 07",Western Oregon,3,18,UC San Diego,6 - 1 (W) STATS,1.0,0
"Mon, Feb 08",Western Oregon,3,18,UC San Diego,19 - 5 (W) STATS,1.0,0
"Fri, Feb 12",Grand Canyon,3,-,UC San Diego,6 - 0 (W) STATS,1.0,0
"Fri, Feb 12",Grand Canyon,3,-,UC San Diego,16 - 2 (W) STATS,1.0,0
"Sat, Feb 13",Grand Canyon,3,-,UC San Diego,15 - 2 (W) STATS,1.0,0
"Sat, Feb 13",Grand Canyon,3,-,UC San Diego,15 - 0 (W) STATS,1.0,0
"Fri, Feb 19",Chico State *,3,23,UC San Diego,9 - 10 (L) STATS,0.0,1
"Fri, Feb 19",Chico State *,3,23,UC San Diego,6 - 9 (L) 11 inn STATS,0.0,1
"Sat, Feb 20",Chico State *,3,23,UC San Diego,4 - 3 (W) STATS,1.0,1
"Sun, Feb 21",Chico State *,3,23,UC San Diego,8 - 7 (W) STATS,1.0,1
"Fri, Feb 26",Cal State Monterey Bay *,4,-,UC San Diego,10 - 3 (W) STATS,1.0,1
"Fri, Feb 26",Cal State Monterey Bay *,4,-,UC San Diego,9 - 2 (W) STATS,1.0,1
"Sun, Feb 28",Cal State Monterey Bay *,4,-,UC San Diego,12 - 1 (W) STATS,1.0,1
"Sun, Feb 28",Cal State Monterey Bay *,4,-,UC San Diego,9 - 3 (W) STATS,1.0,1
"Fri, Mar 05",Cal State East Bay *,3,-,Hayward,5 - 3 (W) STATS,1.0,1
"Fri, Mar 05",Cal State East Bay *,3,-,Hayward,3 - 2 (W) STATS,1.0,1
"Sat, Mar 06",Cal State East Bay *,3,-,Hayward,12 - 7 (W) STATS,1.0,1
"Sun, Mar 07",Cal State East Bay *,3,-,Hayward,18 - 5 (W) STATS,1.0,1
"Fri, Mar 12",Sonoma State *,2,-,UC San Diego,10 - 2 (W) STATS,1.0,1
"Sat, Mar 13",Sonoma State *,2,-,UC San Diego,9 - 7 (W) STATS,1.0,1
"Sat, Mar 13",Sonoma State *,2,-,UC San Diego,4 - 3 (W) STATS,1.0,1
"Sun, Mar 14",Sonoma State *,2,-,UC San Diego,12 - 3 (W) STATS,1.0,1
"Mon, Mar 22",Cal State San Marcos,1,-,UC San Diego,8 - 4 (W) STATS,1.0,0
"Thu, Mar 25",Cal Poly Pomona *,1,-,Pomona,7 - 3 (W) STATS,1.0,1
"Fri, Mar 26",Cal Poly Pomona *,1,-,Pomona,5 - 2 (W) STATS,1.0,1
"Sat, Mar 27",Cal Poly Pomona *,1,-,UC San Diego,11 - 0 (W) STATS,1.0,1
"Sat, Mar 27",Cal Poly Pomona *,1,-,UC San Diego,5 - 2 (W) STATS,1.0,1
"Thu, Apr 01",Cal State San Bernardino *,1,-,San Bernardino,3 - 4 (L) STATS,0.0,1
"Fri, Apr 02",Cal State San Bernardino *,1,-,San Bernardino,14 - 7 (W) STATS,1.0,1
"Sat, Apr 03",Cal State San Bernardino *,1,-,UC San Diego,12 - 1 (W) STATS,1.0,1
"Sat, Apr 03",Cal State San Bernardino *,1,-,UC San Diego,2 - 3 (L) STATS,0.0,1
"Fri, Apr 09",Cal State Stanislaus *,4,-,Turlock,7 - 0 (W) STATS,1.0,1
"Sat, Apr 10",Cal State Stanislaus *,4,-,Turlock,5 - 3 (W) STATS,1.0,1
"Sat, Apr 10",Cal State Stanislaus *,4,-,Turlock,10 - 2 (W) STATS,1.0,1
"Sun, Apr 11",Cal State Stanislaus *,4,-,Turlock,18 - 5 (W) STATS,1.0,1
"Thu, Apr 15",Cal State L.A. *,3,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Fri, Apr 16",Cal State L.A. *,3,-,UC San Diego,10 - 4 (W) STATS,1.0,1
"Sat, Apr 17",Cal State L.A. *,3,-,Los Angeles,13 - 6 (W) STATS,1.0,1
"Sat, Apr 17",Cal State L.A. *,3,-,Los Angeles,5 - 4 (W) STATS,1.0,1
"Fri, Apr 23",Cal State Dominguez Hills *,3,10,UC San Diego,5 - 2 (W) STATS,1.0,1
"Sat, Apr 24",Cal State Dominguez Hills *,3,10,Carson,10 - 1 (W) STATS,1.0,1
"Sat, Apr 24",Cal State Dominguez Hills *,3,10,Carson,21 - 3 (W) STATS,1.0,1
"Sun, Apr 25",Cal State Dominguez Hills *,3,10,UC San Diego,9 - 1 (W) STATS,1.0,1
"Fri, Apr 30",San Francisco State *,2,-,San Francisco,19 - 3 (W) STATS,1.0,1
"Sat, May 01",San Francisco State *,2,-,San Francisco,11 - 2 (W) STATS,1.0,1
"Sat, May 01",San Francisco State *,2,-,San Francisco,9 - 5 (W) STATS,1.0,1
"Sun, May 02",San Francisco State *,2,-,San Francisco,8 - 4 (W) STATS,1.0,1
"Thu, May 06",Chico State,1,29,Stockton,8 - 5 (W) STATS,1.0,0
"Fri, May 07",Cal State Dominguez Hills,1,25,Stockton,8 - 4 (W) STATS,1.0,0
