Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Sun, Feb 01",San Diego Christian College,4,-,UC San Diego,9 - 6 (W) STATS,1.0,0
"Wed, Feb 04",Point Loma Nazarene,4,-,UC San Diego,4 - 1 (W) STATS,1.0,0
"Sat, Feb 14",Western Oregon,2,-,UC San Diego,1 - 3 (L) STATS,0.0,0
"Sat, Feb 14",Western Oregon,2,-,UC San Diego,8 - 7 (W) (8) STATS,1.0,0
"Sun, Feb 15",Western Oregon,2,-,UC San Diego,1 - 2 (L) STATS,0.0,0
"Sun, Feb 15",Western Oregon,2,-,UC San Diego,2 - 6 (L) STATS,0.0,0
"Fri, Feb 20",Cal State Monterey Bay *,25,-,Monterey,3 - 1 (W) STATS,1.0,1
"Fri, Feb 20",Cal State Monterey Bay *,25,-,Monterey,7 - 1 (W) STATS,1.0,1
"Sat, Feb 21",Cal State Monterey Bay *,25,-,Monterey,5 - 2 (W) STATS,1.0,1
"Sat, Feb 21",Cal State Monterey Bay *,25,-,Monterey,4 - 3 (W) STATS,1.0,1
"Thu, Feb 26",Cal State L.A. *,-,-,UC San Diego,11 - 1 (W) STATS,1.0,1
"Fri, Feb 27",Cal State L.A. *,-,-,UC San Diego,13 - 2 (W) STATS,1.0,1
"Sat, Feb 28",Cal State L.A. *,-,-,Los Angeles,10 - 5 (W) STATS,1.0,1
"Sat, Feb 28",Cal State L.A. *,-,-,Los Angeles,6 - 16 (L) STATS,0.0,1
"Sat, Mar 07",Sonoma State *,17,-,Sonoma,1 - 2 (L) STATS,0.0,1
"Sat, Mar 07",Sonoma State *,17,-,Sonoma,2 - 3 (L) STATS,0.0,1
"Sun, Mar 08",Sonoma State *,17,-,Sonoma,2 - 3 (L) STATS,0.0,1
"Sun, Mar 08",Sonoma State *,17,-,Sonoma,3 - 2 (W) (8) STATS,1.0,1
"Fri, Mar 13",Cal State Stanislaus *,23,1,UC San Diego,3 - 2 (W) (11) STATS,1.0,1
"Sat, Mar 14",Cal State Stanislaus *,23,1,UC San Diego,8 - 3 (W) STATS,1.0,1
"Sat, Mar 14",Cal State Stanislaus *,23,1,UC San Diego,6 - 0 (W) STATS,1.0,1
"Sun, Mar 15",Cal State Stanislaus *,23,1,UC San Diego,6 - 5 (W) STATS,1.0,1
"Fri, Mar 27",San Francisco State *,6,-,UC San Diego,10 - 3 (W) STATS,1.0,1
"Sat, Mar 28",San Francisco State *,6,-,UC San Diego,12 - 2 (W) STATS,1.0,1
"Sat, Mar 28",San Francisco State *,6,-,UC San Diego,10 - 2 (W) STATS,1.0,1
"Sun, Mar 29",San Francisco State *,6,-,UC San Diego,8 - 7 (W) STATS,1.0,1
"Fri, Apr 03",Chico State *,6,-,Chico,19 - 8 (W) STATS,1.0,1
