Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Wed, Feb 08",Point Loma Nazarene,-,-,UC San Diego,9 - 6 (W) STATS,1.0,0
"Fri, Feb 10",Cal State L.A.,-,-,San Bernardino,9 - 14 (L) STATS,0.0,0
"Sat, Feb 11",Cal State Dominguez Hills,-,-,San Bernardino,6 - 2 (W) STATS,1.0,0
"Sun, Feb 12",Cal State San Bernardino,-,-,San Bernardino,4 - 0 (W) STATS,1.0,0
"Tue, Feb 14",Cal State Dominguez Hills,-,-,Carson,7 - 8 (L) STATS,0.0,0
"Sat, Feb 18",Cal Poly Pomona,-,-,Pomona,7 - 3 (W) STATS,1.0,0
"Sat, Feb 18",Cal Poly Pomona,-,-,Pomona,8 - 5 (W) STATS,1.0,0
"Sun, Feb 19",Cal Poly Pomona,-,-,UC San Diego,6 - 11 (L) STATS,0.0,0
"Sun, Feb 19",Cal Poly Pomona,-,-,UC San Diego,8 - 4 (W) STATS,1.0,0
"Thu, Feb 23",Cal State San Bernardino*,-,-,UC San Diego,3 - 4 (L) STATS,0.0,1
"Fri, Feb 24",Cal State San Bernardino*,-,-,UC San Diego,1 - 9 (L) STATS,0.0,1
"Sat, Feb 25",Cal State San Bernardino*,-,-,San Bernardino,8 - 6 (W) STATS,1.0,1
"Sat, Feb 25",Cal State San Bernardino*,-,-,San Bernardino,8 - 3 (W) STATS,1.0,1
"Wed, Mar 01",Point Loma Nazarene,-,-,Point Loma,4 - 14 (L) STATS,0.0,0
"Fri, Mar 03",Sonoma State*,-,-,UC San Diego,2 - 1 (W) 10 STATS,1.0,1
"Sat, Mar 04",Sonoma State*,-,-,UC San Diego,10 - 13 (L) STATS,0.0,1
"Sat, Mar 04",Sonoma State*,-,-,UC San Diego,2 - 3 (L) STATS,0.0,1
"Sun, Mar 05",Sonoma State*,-,-,UC San Diego,11 - 7 (W) STATS,1.0,1
"Thu, Mar 09",Cal State L.A.*,-,7,Los Angeles,7 - 6 (W) STATS,1.0,1
"Thu, Mar 09",Cal State L.A.*,-,7,Los Angeles,4 - 5 (L) STATS,0.0,1
"Sun, Mar 12",Cal State L.A.*,-,7,UC San Diego,14 - 8 (W) STATS,1.0,1
"Sun, Mar 12",Cal State L.A.*,-,7,UC San Diego,7 - 6 (W) STATS,1.0,1
"Tue, Mar 14",Grand Canyon,21,-,"Phoenix, Ariz.",5 - 6 (L) STATS,0.0,0
"Tue, Mar 14",Grand Canyon,21,-,"Phoenix, Ariz.",5 - 1 (W) STATS,1.0,0
"Fri, Mar 17",Cal State Stanislaus,21,13,UC San Diego,7 - 4 (W) STATS,1.0,0
"Sat, Mar 18",Cal State Stanislaus,21,13,UC San Diego,1 - 3 (L) STATS,0.0,0
"Sat, Mar 18",Cal State Stanislaus,21,13,UC San Diego,4 - 3 (W) STATS,1.0,0
"Sun, Mar 26",Chico State*,24,4,UC San Diego,2 - 4 (L) STATS,0.0,1
"Sun, Mar 26",Chico State*,24,4,UC San Diego,5 - 1 (W) STATS,1.0,1
"Mon, Mar 27",Chico State*,24,4,UC San Diego,15 - 4 (W) STATS,1.0,1
"Mon, Mar 27",Chico State*,24,4,UC San Diego,4 - 1 (W) STATS,1.0,1
"Fri, Mar 31",Cal State Stanislaus*,19,-,Turlock,1 - 18 (L) STATS,0.0,1
"Sat, Apr 01",Cal State Stanislaus*,19,-,Turlock,5 - 3 (W) STATS,1.0,1
"Sat, Apr 01",Cal State Stanislaus*,19,-,Turlock,1 - 13 (L) STATS,0.0,1
"Sun, Apr 02",Cal State Stanislaus*,19,-,Turlock,0 - 10 (L) STATS,0.0,1
"Thu, Apr 06",Cal Poly Pomona*,22,-,UC San Diego,4 - 3 (W) STATS,1.0,1
"Fri, Apr 07",Cal Poly Pomona*,22,-,UC San Diego,10 - 7 (W) STATS,1.0,1
"Sat, Apr 08",Cal Poly Pomona*,22,-,Pomona,6 - 1 (W) STATS,1.0,1
"Sat, Apr 08",Cal Poly Pomona*,22,-,Pomona,3 - 12 (L) STATS,0.0,1
"Fri, Apr 14",Cal State Monterey Bay,21,-,Monterey,10 - 0 (W) STATS,1.0,0
"Sat, Apr 15",Cal State Monterey Bay,21,-,Monterey,7 - 8 (L) STATS,0.0,0
"Sat, Apr 15",Cal State Monterey Bay,21,-,Monterey,2 - 7 (L) STATS,0.0,0
"Tue, Apr 18",Point Loma Nazarene,-,-,UC San Diego,8 - 2 (W) STATS,1.0,0
"Thu, Apr 20",Cal State Dominguez Hills*,-,-,Carson,10 - 11 (L) STATS,0.0,1
"Fri, Apr 21",Cal State Dominguez Hills*,-,-,Carson,3 - 4 (L) STATS,0.0,1
"Sat, Apr 22",Cal State Dominguez Hills*,-,-,UC San Diego,8 - 5 (W) STATS,1.0,1
"Sat, Apr 22",Cal State Dominguez Hills*,-,-,UC San Diego,1 - 6 (L) STATS,0.0,1
"Tue, Apr 25",Grand Canyon,-,-,UC San Diego,7 - 13 (L) STATS,0.0,0
"Fri, Apr 28",San Francisco State*,-,-,San Francisco,13 - 9 (W) STATS,1.0,1
"Sat, Apr 29",San Francisco State*,-,-,San Francisco,9 - 7 (W) STATS,1.0,1
"Sat, Apr 29",San Francisco State*,-,-,San Francisco,5 - 3 (W) STATS,1.0,1
"Sun, Apr 30",San Francisco State*,-,-,San Francisco,11 - 2 (W) STATS,1.0,1
"Fri, May 05",Cal State Monterey Bay*,-,-,UC San Diego,5 - 4 (W) STATS,1.0,1
"Sat, May 06",Cal State Monterey Bay*,-,-,UC San Diego,9 - 2 (W) STATS,1.0,1
"Sat, May 06",Cal State Monterey Bay*,-,-,UC San Diego,10 - 1 (W) STATS,1.0,1
