year,win,loss,draw,total_game
2005,11,3,0,14
2006,13,1,2,16
2007,9,2,2,13
2008,10,3,1,14
2009,11,0,5,16
2010,12,2,2,16
2011,12,1,3,16
2012,11,2,2,15
2013,6,5,5,16
2014,6,3,2,11
2015,7,4,1,12
