Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Aug 25",Point Loma,13,-,Carson,1.0,0,3,2
"Thu, Aug 25",Bridgeport,13,-,Carson,1.0,0,3,0
"Fri, Aug 26",Concordia (N.Y.),13,-,Carson,1.0,0,3,0
"Tue, Aug 30",Point Loma,13,-,UC San Diego,1.0,0,3,2
"Fri, Sep 02",St. Martins,13,-,San Bernardino,1.0,0,3,0
"Fri, Sep 02",Hawaii Pacific,13,8,San Bernardino,0.0,0,0,3
"Sat, Sep 03",Northwood,13,16,San Bernardino,1.0,0,3,0
"Sat, Sep 03",Northwest Nazarene,13,-,San Bernardino,1.0,0,3,0
"Thu, Sep 08",Grand Canyon,10,-,UC San Diego,1.0,0,3,1
"Sat, Sep 10",Cal State San Bernardino*,10,2,San Bernardino,0.0,1,1,3
"Fri, Sep 16",Cal State Monterey Bay*,12,-,UC San Diego,1.0,1,3,0
"Sat, Sep 17",Sonoma State*,12,-,UC San Diego,1.0,1,3,0
"Fri, Sep 23",Chico State*,11,-,Chico,1.0,1,3,1
"Sat, Sep 24",Cal State Stanislaus*,11,-,Turlock,1.0,1,3,1
"Fri, Sep 30",Cal State Dominguez Hills*,10,-,UC San Diego,1.0,1,3,0
"Sat, Oct 01",Cal Poly Pomona*,10,18,UC San Diego,0.0,1,1,3
"Thu, Oct 06",Cal State L.A.*,13,16,Los Angeles,0.0,1,1,3
"Fri, Oct 07",Cal State Bakersfield*,13,-,Bakersfield,1.0,1,3,2
"Sat, Oct 15",Cal State San Bernardino*,16,11,UC San Diego,1.0,1,3,2
"Fri, Oct 21",Sonoma State*,14,-,Sonoma,0.0,1,2,3
"Sat, Oct 22",Cal State Monterey Bay*,14,-,Monterey,1.0,1,3,0
"Fri, Oct 28",Cal State Stanislaus*,17,-,UC San Diego,1.0,1,3,0
"Sat, Oct 29",Chico State*,17,-,UC San Diego,1.0,1,3,1
"Wed, Nov 02",Cal State Bakersfield*,17,22,UC San Diego,0.0,1,1,3
"Fri, Nov 04",Cal State L.A.*,17,9,UC San Diego,0.0,1,2,3
"Fri, Nov 11",Cal Poly Pomona*,18,9,Pomona,0.0,1,0,3
"Sat, Nov 12",Cal State Dominguez Hills*,18,-,Carson,1.0,1,3,0
