Date,Opponent,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Wed, Nov 01",UC Santa Barbara (Exhibition),-,Santa Barbara,0.0,0,51,62
"Mon, Nov 13",University of San Diego (Exhibition),-,San Diego,0.0,0,69,74
"Wed, Nov 15",San Diego State,-,San Diego,0.0,0,48,84
"Mon, Nov 20",Grand Canyon,-,"Phoenix, Ariz.",0.0,0,62,64
"Fri, Nov 24",Seattle Pacific,4,"Las Vegas, Nev.",1.0,0,62,52
"Sat, Nov 25",Montevallo,2,"Las Vegas, Nev.",1.0,0,61,60
"Fri, Dec 01",Chico State* *,-,UC San Diego,0.0,1,67,74
"Sat, Dec 02",Cal State Stanislaus* *,-,UC San Diego,1.0,1,76,72
"Sun, Dec 10",Hawaii Pacific,-,UC San Diego,0.0,0,50,53
"Wed, Dec 20",Cal State Dominguez Hills* *,-,Carson,0.0,1,51,60
"Thu, Jan 04",Humboldt State* *,-,Arcata,0.0,1,76,90
"Sat, Jan 06",Sonoma State* *,-,Rohnert Park,0.0,1,70,75
"Fri, Jan 12",Cal State L.A.* *,-,Los Angeles,1.0,1,59,54
"Sat, Jan 13",Cal State Bakersfield* *,-,Bakersfield,0.0,1,36,67
"Fri, Jan 19",Cal State San Bernardino* *,12,UC San Diego,1.0,1,69,63
"Sat, Jan 20",Cal Poly Pomona* *,17,UC San Diego,0.0,1,54,60
"Fri, Jan 26",San Francisco State* *,-,San Francisco,1.0,1,63,58
"Sat, Jan 27",Cal State Monterey Bay* *,-,Monterey,0.0,1,55,71
"Fri, Feb 02",Cal State Stanislaus* *,-,Turlock,1.0,1,116,103
"Sat, Feb 03",Chico State* *,-,Chico,1.0,1,69,54
"Tue, Feb 06",Cal State Dominguez Hills* *,-,UC San Diego,1.0,1,45,44
"Fri, Feb 09",Sonoma State* *,-,UC San Diego,1.0,1,90,76
"Sat, Feb 10",Humboldt State* *,11,UC San Diego,0.0,1,59,61
"Fri, Feb 16",Cal State Bakersfield* *,-,UC San Diego,0.0,1,56,67
"Sat, Feb 17",Cal State L.A.* *,-,UC San Diego,0.0,1,77,86
"Fri, Feb 23",Cal Poly Pomona* *,19,Pomona,0.0,1,65,68
"Sat, Feb 24",Cal State San Bernardino* *,16,San Bernardino,0.0,1,59,77
"Fri, Mar 02",Cal State Monterey Bay* *,-,UC San Diego,1.0,1,100,82
"Sat, Mar 03",San Francisco State* *,-,UC San Diego,1.0,1,73,47
