Date,Opponent,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Fri, Oct 28",Utah State (Exhibition),-,"Logan, UT",0.0,0,42,74
"Tue, Nov 01",California (Exhibition),-,Berkeley,0.0,0,88,53
"Fri, Nov 04",Chestnut Hill,-,Anaheim,1.0,0,102,74
"Sat, Nov 05",Western Washington,-,Anaheim,0.0,0,68,78
"Sun, Nov 06",Dominican,-,Anaheim,1.0,0,78,73
"Sat, Nov 19",Academy of Art,-,San Francisco,1.0,0,80,66
"Tue, Nov 22",Cal State San Bernardino *,-,UC San Diego,0.0,1,63,66
"Fri, Dec 02",Cal State Dominguez Hills *,-,Carson,0.0,1,53,63
"Sat, Dec 03",Cal State L.A. *,-,Los Angeles,0.0,1,41,49
"Sun, Dec 11",Dixie State,-,UC San Diego,1.0,0,81,67
"Mon, Dec 19",Cal State San Bernardino *,-,San Bernardino,0.0,1,63,71
"Thu, Dec 29",San Francisco State *,-,UC San Diego,1.0,1,72,50
"Fri, Dec 30",Cal Poly Pomona *,8,UC San Diego,0.0,1,52,66
"Fri, Jan 06",Cal State Stanislaus *,-,Turlock,0.0,1,72,78
"Sat, Jan 07",Chico State *,-,Chico,0.0,1,56,66
"Fri, Jan 13",Cal State East Bay *,-,UC San Diego,0.0,1,79,80
"Sat, Jan 14",Cal State Monterey Bay *,-,UC San Diego,1.0,1,71,67
"Fri, Jan 20",Sonoma State *,-,UC San Diego,1.0,1,63,62
"Sat, Jan 21",Humboldt State *,-,UC San Diego,0.0,1,64,65
"Thu, Jan 26",Cal Poly Pomona *,-,Pomona,0.0,1,50,58
"Sat, Jan 28",San Francisco State *,-,San Francisco,0.0,1,45,56
"Fri, Feb 03",Cal State L.A. *,-,UC San Diego,1.0,1,57,56
"Sat, Feb 04",Cal State Dominguez Hills *,-,UC San Diego,1.0,1,48,46
"Fri, Feb 10",Chico State *,-,UC San Diego,0.0,1,64,71
"Sat, Feb 11",Cal State Stanislaus *,-,UC San Diego,0.0,1,42,55
"Fri, Feb 17",Cal State Monterey Bay *,-,Monterey,1.0,1,80,67
"Sat, Feb 18",Cal State East Bay *,-,Hayward,0.0,1,71,83
"Wed, Feb 22",Humboldt State *,-,Arcata,0.0,1,68,72
"Fri, Feb 24",Sonoma State *,-,Rohnert Park,0.0,1,68,70
