Date,Opponent,UCSD Rank,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Fri, Sep 06",Central Washington,22,24,San Bernardino,1.0,0,3,0
"Fri, Sep 06",Regis,22,13,San Bernardino,1.0,0,3,0
"Sat, Sep 07",Harding,22,RV,San Bernardino,1.0,0,3,0
"Sat, Sep 07",Seattle Pacific,22,-,San Bernardino,1.0,0,3,0
"Fri, Sep 13",California Baptist,13,-,UC San Diego,1.0,0,3,1
"Fri, Sep 13",Point Loma,13,-,UC San Diego,1.0,0,3,0
"Sat, Sep 14",Fresno Pacific,13,10,UC San Diego,1.0,0,3,1
"Sat, Sep 14",Alaska Anchorage,13,-,UC San Diego,1.0,0,3,0
"Fri, Sep 20",San Francisco State *,8,-,San Francisco,1.0,1,3,0
"Sat, Sep 21",Sonoma State *,8,18,Rohnert Park,0.0,1,1,3
"Wed, Sep 25",Cal State San Bernardino *,10,20,San Bernardino,0.0,1,1,3
"Fri, Sep 27",Cal State Stanislaus *,10,-,Turlock,1.0,1,3,0
"Sat, Sep 28",Chico State *,10,-,Chico,1.0,1,3,1
"Thu, Oct 03",Cal Poly Pomona *,12,-,Pomona,1.0,1,3,2
"Sat, Oct 05",Humboldt State *,12,-,Arcata,1.0,1,3,1
"Fri, Oct 11",Cal State East Bay (Reis Cup) *,11,-,UC San Diego,1.0,1,3,1
"Sat, Oct 12",Cal State Monterey Bay *,11,-,UC San Diego,1.0,1,3,2
"Fri, Oct 18",Cal State Dominguez Hills *,10,-,Carson,1.0,1,3,1
"Sat, Oct 19",Cal State L.A. *,10,-,UC San Diego,0.0,1,2,3
"Fri, Oct 25",Sonoma State *,13,14,UC San Diego,1.0,1,3,1
"Sat, Oct 26",San Francisco State *,13,-,UC San Diego,1.0,1,3,1
"Fri, Nov 01",Chico State *,12,-,UC San Diego,1.0,1,3,1
"Sat, Nov 02",Cal State Stanislaus *,12,-,UC San Diego,1.0,1,3,0
"Fri, Nov 08",Humboldt State *,12,-,UC San Diego,1.0,1,3,0
"Sat, Nov 09",Cal Poly Pomona *,12,-,UC San Diego,1.0,1,3,2
"Fri, Nov 15",Cal State Monterey Bay *,12,-,Seaside,1.0,1,3,2
"Sat, Nov 16",Cal State East Bay *,12,-,Hayward,1.0,1,3,1
"Wed, Nov 20",Cal State San Bernardino *,12,14,UC San Diego,0.0,1,2,3
"Fri, Nov 22",Cal State L.A. *,12,-,Los Angeles,0.0,1,1,3
"Sat, Nov 23",Cal State Dominguez Hills *,12,-,UC San Diego,1.0,1,3,1
"Thu, Dec 05",Dixie State (Quarterfinal),12,RV,San Bernardino (The Den),1.0,0,3,1
"Fri, Dec 06",BYU-Hawaii (Semifinal),12,4,San Bernardino (The Den),0.0,0,0,3
