Date,Opponent,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Sat, Nov 15",San Diego State,-,San Diego,0.0,0,40,59
"Wed, Nov 19",Pacific,-,Stockton,0.0,0,58,66
"Fri, Nov 28",Notre Dame de Namur,-,San Francisco,1.0,0,76,53
"Sat, Nov 29",Central Washington,11,San Francisco,0.0,0,70,78
"Fri, Dec 05",Humboldt State *,-,UC San Diego,1.0,1,80,67
"Sat, Dec 06",Sonoma State *,-,UC San Diego,1.0,1,57,52
"Sat, Dec 20",Academy of Art University,-,Las Vegas,1.0,0,62,40
"Sun, Dec 21",Grand Canyon,-,Las Vegas,1.0,0,78,60
"Fri, Jan 02",Cal State L.A. *,-,UC San Diego,1.0,1,68,64
"Sat, Jan 03",Cal State Dominguez Hills *,-,UC San Diego,0.0,1,51,63
"Fri, Jan 09",Cal State San Bernardino *,-,San Bernardino,0.0,1,59,74
"Sat, Jan 10",Cal Poly Pomona *,-,Pomona,0.0,1,51,54
"Fri, Jan 16",Cal State Monterey Bay *,-,Monterey,1.0,1,71,61
"Sat, Jan 17",San Francisco State *,-,San Francisco,1.0,1,66,59
"Fri, Jan 23",Cal State Stanislaus *,-,UC San Diego,1.0,1,67,58
"Sat, Jan 24",Chico State *,-,UC San Diego,1.0,1,69,63
"Fri, Jan 30",Sonoma State *,-,Sonoma,1.0,1,70,67
"Sat, Jan 31",Humboldt State *,-,Arcata,0.0,1,55,60
"Fri, Feb 06",Cal State Dominguez Hills *,-,Carson,0.0,1,58,61
"Sat, Feb 07",Cal State L.A. *,-,Los Angeles,1.0,1,71,60
"Fri, Feb 13",Cal Poly Pomona *,-,UC San Diego,0.0,1,39,61
"Sat, Feb 14",Cal State San Bernardino *,-,UC San Diego,1.0,1,69,63
"Fri, Feb 20",San Francisco State *,-,UC San Diego,1.0,1,78,71
"Sat, Feb 21",Cal State Monterey Bay *,-,UC San Diego,1.0,1,72,65
"Thu, Feb 26",Chico State *,-,Chico,0.0,1,57,60
"Fri, Feb 27",Cal State Stanislaus *,-,Turlock,1.0,1,98,68
"Tue, Mar 03",Humboldt State,-,UC San Diego,1.0,0,79,67
"Fri, Mar 06",Cal State San Bernardino,-,San Bernardino,0.0,0,72,76
