Date,Opponent,Opp Rank,Location,Won,Conference,UCSD Score,Opp Score
"Tue, Nov 02",UC Irvine (Ex.),-,Irvine,0.0,0,52,77
"Sat, Nov 06",UC Santa Cruz (Ex.),-,UC San Diego,1.0,0,73,67
"Fri, Nov 12",Lewis,-,Anaheim,1.0,0,70,59
"Sat, Nov 13",Dixie State,-,Anaheim,1.0,0,65,57
"Sun, Nov 14",Alaska Anchorage,-,Anaheim,0.0,0,52,67
"Sun, Nov 21",Academy of Art,-,UC San Diego,1.0,0,81,61
"Fri, Nov 26",Notre Dame de Namur,-,Belmont,1.0,0,53,42
"Sat, Nov 27",Simon Fraser,-,Belmont,1.0,0,77,59
"Fri, Dec 03",Cal State Monterey Bay *,-,Monterey,0.0,1,72,75
"Sat, Dec 04",San Francisco State *,-,San Francisco,0.0,1,60,78
"Tue, Dec 14",Cal State East Bay *,-,UC San Diego,1.0,1,69,55
"Sun, Dec 19",Humboldt State *,-,UC San Diego,0.0,1,57,67
"Thu, Dec 30",Sonoma State *,-,UC San Diego,1.0,1,73,64
"Mon, Jan 03",Cal State East Bay *,-,Hayward,1.0,1,64,53
"Fri, Jan 07",Chico State *,-,Chico,0.0,1,55,68
"Sat, Jan 08",Cal State Stanislaus,-,Turlock,0.0,0,55,57
"Thu, Jan 13",Cal State L.A. *,-,UC San Diego,1.0,1,76,73
"Sat, Jan 15",Cal State Dominguez Hills *,7,UC San Diego,0.0,1,49,57
"Thu, Jan 20",Cal State San Bernardino *,-,UC San Diego,0.0,1,59,60
"Sat, Jan 22",Cal Poly Pomona *,-,UC San Diego,0.0,1,52,54
"Thu, Jan 27",Sonoma State *,-,Sonoma,0.0,1,60,83
"Sat, Jan 29",Humboldt State *,-,Arcata,0.0,1,44,69
"Thu, Feb 03",San Francisco State *,-,UC San Diego,1.0,1,87,82
"Sat, Feb 05",Cal State Monterey Bay *,-,UC San Diego,0.0,1,60,70
"Thu, Feb 10",Cal State Stanislaus *,-,UC San Diego,0.0,1,71,66
"Sat, Feb 12",Chico State *,-,UC San Diego,0.0,1,56,60
"Fri, Feb 18",Cal State Dominguez Hills *,13,Carson,1.0,1,61,59
"Sat, Feb 19",Cal State L.A. *,-,Los Angeles,0.0,1,62,64
"Thu, Feb 24",Cal Poly Pomona *,-,Pomona,0.0,1,50,63
"Fri, Feb 25",Cal State San Bernardino *,-,San Bernardino,0.0,1,72,76
