Date,Opponent,Location,Won,Conference,UCSD Score,Opp Score
"Thu, Nov 03",UC Santa Barbara (Exhibition),Santa Barbara,0.0,0,36,57
"Sat, Nov 12",Gonzaga (Exhibition),"Spokane, Wash.",0.0,0,36,81
"Sun, Nov 13",Eastern Washington (Exhibition),"Cheyney, Wash.",0.0,0,44,75
"Fri, Nov 18",Cal Poly,San Luis Obispo,0.0,0,67,71
"Tue, Nov 22",Pomona-Pitzer,Pomona,1.0,0,54,47
"Fri, Nov 25",Grand Canyon,"Phoenix, Ariz.",0.0,0,60,72
"Fri, Dec 02",Cal State Bakersfield*,Bakersfield,0.0,1,49,51
"Sat, Dec 03",Cal State L.A.*,Los Angeles,0.0,1,58,61
"Tue, Dec 13",Point Loma,San Diego,0.0,0,63,71
"Sat, Dec 17",Hawaii-Hilo,"Kailula-Kona, Hawaii",0.0,0,69,75
"Mon, Dec 19",Montreat College,"Kailua-Kona, Hawaii",1.0,0,70,58
"Wed, Dec 21",Hawaii-Hilo,"Kailua-Kona, Hawaii",0.0,0,62,69
"Tue, Jan 03",Grand Canyon,UC San Diego,1.0,0,94,91
"Fri, Jan 06",Cal State Stanislaus*,UC San Diego,0.0,1,75,79
"Sat, Jan 07",Chico State*,UC San Diego,1.0,1,61,41
"Wed, Jan 11",Cal State San Bernardino*,San Bernardino,0.0,1,42,64
"Sat, Jan 14",Cal State Monterey Bay*,Monterey,1.0,1,67,62
"Fri, Jan 20",Cal State Dominguez Hills*,UC San Diego,1.0,1,79,46
"Sat, Jan 21",Cal Poly Pomona*,UC San Diego,1.0,1,83,79
"Fri, Jan 27",Sonoma State*,Rohnert Park,0.0,1,53,70
"Sat, Jan 28",San Francisco State*,San Francisco,1.0,1,65,56
"Tue, Jan 31",Chapman,Orange,0.0,0,64,70
"Fri, Feb 03",Cal State L.A.*,UC San Diego,1.0,1,66,51
"Sat, Feb 04",Cal State Bakersfield*,UC San Diego,0.0,1,60,80
"Fri, Feb 10",Chico State*,Chico,1.0,1,70,56
"Sat, Feb 11",Cal State Stanislaus*,Turlock,1.0,1,81,77
"Wed, Feb 15",Cal State San Bernardino*,UC San Diego,1.0,1,57,55
"Fri, Feb 17",Cal State Monterey Bay*,UC San Diego,1.0,1,70,67
"Fri, Feb 24",Cal Poly Pomona*,Pomona,0.0,1,53,56
"Sat, Feb 25",Cal State Dominguez Hills*,Carson,1.0,1,80,77
"Fri, Mar 03",San Francisco State*,UC San Diego,1.0,1,50,38
"Sat, Mar 04",Sonoma State*,UC San Diego,0.0,1,40,67
