Date,Opponent,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 04",Seattle Pacific,25,"Seattle, WA",1 - 2 (L) STATS NOTES,0.0,0
"Sat, Sep 06",Saint Martin's,-,"Lacey, WA",3 - 0 (W) STATS NOTES,1.0,0
"Thu, Sep 11",Azusa Pacific,-,UC San Diego,2 - 1 (W) 2OT STATS NOTES,1.0,0
"Sat, Sep 13",California Baptist,-,UC San Diego,0 - 2 (L) STATS NOTES,0.0,0
"Tue, Sep 16",Point Loma,-,San Diego,No Contest (Lightning) NOTES,0.0,0
"Fri, Sep 19",Cal State Dominguez Hills,-,Carson,4 - 2 (W) STATS NOTES,1.0,0
"Mon, Sep 22",Cal State L.A.,RV,UC San Diego,1 - 1 (T) 2OT STATS NOTES,,0
"Fri, Sep 26",Cal State L.A. *,RV,Los Angeles,0 - 1 (L) STATS NOTES,0.0,1
"Sun, Sep 28",Cal Poly Pomona *,-,UC San Diego,0 - 1 (L) STATS NOTES,0.0,1
"Fri, Oct 03",Cal State San Bernardino *,8,UC San Diego,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 05",Chico State *,-,Chico,1 - 1 (T) 2OT STATS NOTES,,1
"Fri, Oct 10",Cal State Stanislaus *,7,UC San Diego,2 - 4 (L) STATS NOTES,0.0,1
"Sun, Oct 12",Cal State East Bay *,-,UC San Diego,5 - 1 (W) STATS NOTES,1.0,1
"Fri, Oct 17",Cal State Monterey Bay *,-,Seaside,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 19",SF State *,-,San Francisco,0 - 0 (T) 2OT STATS NOTES,,1
"Fri, Oct 24",Sonoma State *,15,Rohnert Park,1 - 0 (W) STATS NOTES,1.0,1
"Sun, Oct 26",Humboldt State *,-,Arcata,1 - 0 (W) STATS NOTES,1.0,1
"Thu, Oct 30",Cal State Dominguez Hills *,-,UC San Diego,3 - 0 (W) STATS NOTES,1.0,1
"Sun, Nov 02",Cal Poly Pomona (First Round),-,Pomona,0 - 2 (L) STATS NOTES,0.0,0
