Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Aug 24",Grand Canyon,10,-,UC San Diego,2 - 1 (W) OT STATS,1.0,0
"Fri, Sep 01",Central Washington,10,-,"Ellensburg, WA",2 - 0 (W) STATS,1.0,0
"Mon, Sep 04",Seattle University,10,-,"Seattle, Wash.",2 - 1 (W) OT STATS,1.0,0
"Fri, Sep 08",Cal State San Bernardino*,17,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Sun, Sep 10",Cal Poly Pomona*,17,-,UC San Diego,2 - 1 (W) OT STATS,1.0,1
"Tue, Sep 12",Cal State Dominguez Hills*,12,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Sep 15",Cal State Stanislaus*,12,-,Turlock,5 - 0 (W) STATS,1.0,1
"Sun, Sep 17",Chico State*,12,-,Chico,0 - 1 (L) STATS,0.0,1
"Fri, Sep 22",Cal State Bakersfield*,11,-,Bakersfield,2 - 2 (T) 2OT STATS,,1
"Sun, Sep 24",Cal State L.A.*,11,-,Los Angeles,4 - 0 (W) STATS,1.0,1
"Fri, Sep 29",Sonoma State*,13,-,UC San Diego,4 - 1 (W) STATS,1.0,1
"Sun, Oct 01",Humboldt State*,13,-,UC San Diego,1 - 1 (T) 2OT STATS,,1
"Wed, Oct 04",Cal State Dominguez Hills*,7,-,Carson,1 - 0 (W) STATS,1.0,1
"Fri, Oct 06",Cal Poly Pomona*,7,-,Pomona,3 - 1 (W) STATS,1.0,1
"Sun, Oct 08",Cal State San Bernardino*,7,-,San Bernardino,5 - 0 (W) STATS,1.0,1
"Fri, Oct 13",Cal State L.A.*,5,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Sun, Oct 15",Cal State Bakersfield* *,5,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Fri, Oct 20",San Francisco State*,3,-,San Francisco,1 - 0 (W) STATS,1.0,1
"Sun, Oct 22",Cal State Monterey Bay*,3,-,Monterey,2 - 1 (W) STATS,1.0,1
"Fri, Oct 27",Humboldt State,3,-,UC San Diego,1 - 0 (W) STATS,1.0,0
"Sun, Oct 29",Chico State,3,-,UC San Diego,4 - 0 (W) STATS,1.0,0
"Thu, Nov 02",Western Washington,3,-,UC San Diego,4 - 0 (W) STATS,1.0,0
"Sat, Nov 04",Seattle Pacific,3,18,UC San Diego,3 - 0 (W) STATS,1.0,0
"Sat, Nov 11",Metro State,3,12,"Denver, CO",0 - 2 (L) STATS,0.0,0
