Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Sun, Aug 26",Nebraska-Omaha,5,6,UC San Diego,3 - 1 (W) STATS,1.0,0
"Sun, Sep 02",Hawaii Pacific,5,-,"Honolulu, HI",5 - 0 (W) STATS,1.0,0
"Tue, Sep 04",BYU-Hawaii,3,-,"Laie, HI",1 - 0 (W) STATS,1.0,0
"Fri, Sep 07",Cal State San Bernardino *,3,-,San Bernardino,2 - 1 (W) STATS,1.0,1
"Sun, Sep 09",Cal Poly Pomona *,3,-,Pomona,2 - 1 (W) STATS,1.0,1
"Fri, Sep 14",Cal State Monterey Bay *,2,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sun, Sep 16",San Francisco State *,2,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Wed, Sep 19",Cal State Dominguez Hills *,2,-,Carson,0 - 0 (T) 2OT STATS,,1
"Sun, Sep 23",Cal State L.A. *,2,-,UC San Diego,2 - 1 (W) STATS,1.0,1
"Fri, Oct 05",Humboldt State *,4,-,Arcata,2 - 0 (W) STATS,1.0,1
"Sun, Oct 07",Sonoma State *,4,-,Rohnert Park,1 - 0 (W) STATS,1.0,1
"Wed, Oct 10",Cal State Dominguez Hills *,6,25,UC San Diego,0 - 1 (L) STATS,0.0,1
"Fri, Oct 12",Cal State L.A. *,6,-,Los Angeles,1 - 0 (W) STATS,1.0,1
"Fri, Oct 19",Chico State *,16,-,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Oct 21",Cal State Stanislaus *,16,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Tue, Oct 30",Cal State San Bernardino *,17,-,UC San Diego,0 - 0 (T) 2OT STATS,,1
"Fri, Nov 02",Cal State L.A.,17,-,Carson,1 - 2 (L) STATS,0.0,0
"Thu, Nov 08",Cal State Dominguez Hills,-,-,"Seattle, Wash.",1 - 2 (L) OT STATS,0.0,0
