Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Aug 28",Central Washington,-,-,"Ellensburg, WA",2 - 0 (W) STATS,1.0,0
"Sat, Aug 30",Western Washington,-,-,"Bellingham, WA",2 - 1 (W) OT STATS,1.0,0
"Wed, Sep 03",Cal State San Marcos,4,-,UC San Diego,0 - 0 (T) 2OT STATS,,0
"Sat, Sep 06",Texas A&M - Commerce,4,-,UC San Diego,4 - 0 (W) STATS,1.0,0
"Fri, Sep 12",San Francisco State *,3,-,San Francisco,1 - 2 (L) STATS,0.0,1
"Sun, Sep 14",Cal State Monterey Bay *,3,-,Monterey Bay,2 - 1 (W) STATS,1.0,1
"Wed, Sep 17",Cal State Dominguez Hills *,25,-,UC San Diego,3 - 2 (W) STATS,1.0,1
"Fri, Sep 19",Cal State L.A. *,25,-,Los Angeles,2 - 0 (W) STATS,1.0,1
"Fri, Sep 26",Cal Poly Pomona *,-,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Sun, Sep 28",Cal State San Bernardino *,-,-,UC San Diego,0 - 1 (L) 2OT STATS,0.0,1
"Fri, Oct 03",Sonoma State *,-,12,UC San Diego,2 - 1 (W) OT STATS,1.0,1
"Sun, Oct 05",Humboldt State *,-,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Oct 10",Cal State Stanislaus *,-,-,Turlock,1 - 0 (W) STATS,1.0,1
"Sun, Oct 12",Chico State *,-,-,Chico,3 - 0 (W) STATS,1.0,1
"Wed, Oct 15",Cal State Dominguez Hills *,-,20,Carson,2 - 1 (W) STATS,1.0,1
"Sun, Oct 19",Cal State L.A. *,-,-,UC San Diego,0 - 0 (T) STATS,,1
"Sat, Oct 25",Academy of Art University,-,-,UC San Diego,1 - 0 (W) STATS,1.0,0
"Fri, Oct 31",Cal State San Bernardino *,-,-,San Bernardino,0 - 0 (T) 2OT STATS,,1
"Sun, Nov 02",Cal Poly Pomona *,-,-,Pomona,0 - 2 (L) STATS,0.0,1
"Fri, Nov 07",San Francisco State,-,-,UC San Diego,0 - 0 (T) 2OT STATS,,0
"Sun, Nov 09",Cal State Dominguez Hills,-,-,UC San Diego,3 - 1 (W) STATS,1.0,0
"Thu, Nov 13",BYU-Hawaii,-,-,"Seattle, WA",1 - 0 (W) 2OT STATS,1.0,0
"Sat, Nov 15",Seattle Pacific,-,-,"Seattle, WA",1 - 3 (L) STATS,0.0,0
