Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Fri, Aug 26",Humboldt State,-,-,UC San Diego,3 - 2 (W) 2OT STATS,1.0,0
"Thu, Sep 01",Western Oregon,-,-,UC San Diego,7 - 0 (W) STATS,1.0,0
"Thu, Sep 08",Central Washington,-,-,UC San Diego,11 - 0 (W) STATS,1.0,0
"Sat, Sep 10",Seattle University,-,#2,UC San Diego,4 - 2 (W) STATS,1.0,0
"Tue, Sep 13",Cal State L.A.*,#20,-,Los Angeles,0 - 1 (L) 2OT STATS,0.0,1
"Sat, Sep 17",Cal State Bakersfield*,#20,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Wed, Sep 21",Cal State Dominguez Hills*,#20,#12,Carson,2 - 0 (W) STATS,1.0,1
"Sat, Sep 24",Cal Poly Pomona*,#20,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Sep 30",Sonoma State*,#12,-,Rohnert Park,1 - 0 (W) STATS,1.0,1
"Sun, Oct 02",San Francisco State*,#12,-,San Francisco,3 - 0 (W) STATS,1.0,1
"Wed, Oct 05",Cal State San Bernardino*,#11,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Sun, Oct 09",Cal State Monterey Bay*,#11,-,UC San Diego,6 - 0 (W) STATS,1.0,1
"Wed, Oct 12",Cal State Bakersfield*,#9,-,Bakersfield,2 - 1 (W) STATS,1.0,1
"Fri, Oct 14",Chico State*,#9,#18,Chico,2 - 1 (W) STATS,1.0,1
"Sun, Oct 16",Cal State Stanislaus*,#9,-,Turlock,1 - 2 (L) STATS,0.0,1
"Sat, Oct 22",Cal State Dominguez Hills*,#11,-,UC San Diego,1 - 2 (L) STATS,0.0,1
"Wed, Oct 26",Cal State San Bernardino*,#22,-,San Bernardino,3 - 0 (W) STATS,1.0,1
"Sat, Oct 29",Cal State L.A.*,#22,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Nov 04",Chico State,#17,-,Turlock,1 - 0 (W) STATS,1.0,0
"Sun, Nov 06",Cal State Dominguez Hills,#17,-,Turlock,4 - 3 (W) STATS,1.0,0
"Thu, Nov 10",Cal State Dominguez Hills,#13,#19,"Seattle, Wash.",1 - 0 (W) STATS,1.0,0
"Sat, Nov 12",Seattle Pacific,#13,#2,"Seattle, Wash.",0 - 2 (L) STATS,0.0,0
