Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 01",Western Washington,2,-,"Bellingham, WA",0 - 0 (T) 2OT STATS,,0
"Sat, Sep 03",Seattle Pacific,2,10,"Seattle, WA",2 - 0 (W) STATS,1.0,0
"Fri, Sep 09",Cal State L.A. *,5,11,Los Angeles,1 - 0 (W) STATS,1.0,1
"Sun, Sep 11",Cal State San Bernardino *,5,19,San Bernardino,1 - 1 (T) 2OT STATS,,1
"Fri, Sep 16",San Francisco State *,5,-,San Francisco,2 - 1 (W) OT STATS,1.0,1
"Sun, Sep 18",Cal Poly Pomona *,5,-,Pomona,4 - 0 (W) STATS,1.0,1
"Fri, Sep 23",Cal State Dominguez Hills *,4,-,Carson,1 - 0 (W) STATS,1.0,1
"Sun, Sep 25",Cal State San Bernardino *,4,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Fri, Sep 30",Cal State Monterey Bay *,2,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Sun, Oct 02",Cal State East Bay *,2,-,UC San Diego,5 - 1 (W) STATS,1.0,1
"Fri, Oct 07",Chico State *,2,-,Chico,0 - 0 (T) 2OT STATS,,1
"Sun, Oct 09",Cal State Stanislaus *,2,-,Turlock,0 - 0 (T) 2OT STATS,,1
"Fri, Oct 14",Cal State L.A. *,6,20,UC San Diego,0 - 1 (L) OT STATS,0.0,1
"Sun, Oct 16",Cal State Dominguez Hills *,6,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Oct 21",Humboldt State *,8,-,UC San Diego,5 - 0 (W) STATS,1.0,1
"Sun, Oct 23",Sonoma State *,8,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Oct 28",San Francisco State *,7,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 30",Cal Poly Pomona *,7,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Nov 04",Cal State Stanislaus,7,-,Turlock,1 - 2 (L) STATS,0.0,0
"Sun, Nov 13",Chico State,12,-,UC San Diego,0 - 1 (L) STATS,0.0,0
