Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Thu, Sep 02",Dominican,20,-,UC San Diego,6 - 0 (W) STATS,1.0,0
"Sat, Sep 04",Notre Dame de Namur,20,-,UC San Diego,2 - 0 (W) STATS,1.0,0
"Fri, Sep 10",Cal State L.A. *,6,23,UC San Diego,1 - 3 (L) STATS,0.0,1
"Sun, Sep 12",Cal State Dominguez Hills *,6,9,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Sep 17",Humboldt State *,25,-,Arcata,1 - 2 (L) STATS,0.0,1
"Sun, Sep 19",Sonoma State *,25,-,Rohnert Park,0 - 0 (T) 2OT STATS,,1
"Fri, Sep 24",Cal State Monterey Bay *,-,-,Seaside,4 - 1 (W) STATS,1.0,1
"Sun, Sep 26",San Francisco State *,-,-,San Francisco,0 - 0 (T) 2OT STATS,,1
"Fri, Oct 01",Cal State San Bernardino *,-,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Sun, Oct 03",Cal Poly Pomona *,-,-,UC San Diego,3 - 2 (W) OT STATS,1.0,1
"Fri, Oct 08",Cal State Dominguez Hills *,-,-,Carson,2 - 1 (W) STATS,1.0,1
"Sun, Oct 10",Cal State L.A. *,-,15,Los Angeles,1 - 0 (W) STATS,1.0,1
"Fri, Oct 15",Chico State *,22,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Sun, Oct 17",Cal State Stanislaus *,22,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Oct 22",Cal Poly Pomona *,21,-,Pomona,1 - 0 (W) STATS,1.0,1
"Sun, Oct 24",Cal State San Bernardino *,21,-,San Bernardino,1 - 0 (W) 2OT STATS,1.0,1
"Fri, Oct 29",Cal State East Bay *,9,-,Hayward,1 - 0 (W) STATS,1.0,1
"Sun, Oct 31",Cal State East Bay *,9,-,UC San Diego,2 - 0 (W) STATS,1.0,1
"Fri, Nov 05",San Francisco State,9,-,Turlock,1 - 1 (T) 2OT STATS,,0
"Thu, Nov 11",San Francisco State (First Round),12,-,"Waipahu, Hawaii",3 - 1 (W) STATS,1.0,0
"Sat, Nov 13",BYU-Hawaii (Second Round),12,-,"Waipahu, Hawaii",1 - 0 (W) STATS,1.0,0
"Thu, Nov 18",Seattle Pacific (Third Round),12,9,"Austin, Texas",1 - 0 (W) STATS,1.0,0
"Sat, Nov 20",St. Edward's (Quarterfinals),12,8,"Austin, Texas",1 - 0 (W) STATS,1.0,0
"Thu, Dec 02",Saint Rose (Semifinals),12,1,"Louisville, Ky.",1 - 0 (W) STATS,1.0,0
"Sat, Dec 04",Grand Valley State (Championship),12,5,"Louisville, Ky.",0 - 4 (L) STATS,0.0,0
