Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Sat, Sep 01",Central Washington,18,-,UC San Diego,6 - 1 (W) STATS,1.0,0
"Fri, Sep 07",San Francisco State *,25,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Sun, Sep 09",Cal Poly Pomona *,25,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Sep 14",Cal State L.A. *,15,-,Los Angeles,2 - 1 (W) 2OT STATS,1.0,1
"Sun, Sep 16",Cal State San Bernardino *,15,RV,San Bernardino,1 - 0 (W) 2OT STATS,1.0,1
"Fri, Sep 21",Cal Poly Pomona *,9,-,Pomona,5 - 1 (W) STATS,1.0,1
"Sun, Sep 23",San Francisco State *,9,-,San Francisco,1 - 0 (W) STATS,1.0,1
"Fri, Sep 28",Cal State Dominguez Hills *,5,-,UC San Diego,1 - 1 (T) 2OT STATS,,1
"Sun, Sep 30",Cal State San Bernardino *,5,-,UC San Diego,0 - 1 (L) OT STATS,0.0,1
"Fri, Oct 05",Sonoma State *,17,13,Rohnert Park,0 - 0 (T) 2OT STATS,,1
"Sun, Oct 07",Humboldt State,17,-,Arcata,4 - 1 (W) STATS,1.0,0
"Fri, Oct 12",Cal State L.A. *,25,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 14",Cal State Dominguez Hills *,25,-,Carson,3 - 1 (W) STATS,1.0,1
"Fri, Oct 19",Cal State Stanislaus *,12,20,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Oct 21",Chico State *,12,-,UC San Diego,3 - 0 (W) STATS,1.0,1
"Fri, Oct 26",Cal State East Bay *,RV,-,Hayward,3 - 2 (W) 2OT STATS,1.0,1
"Sun, Oct 28",Cal State Monterey Bay *,RV,-,Seaside,2 - 0 (W) STATS,1.0,1
"Fri, Nov 02",Cal State Stanislaus,13,25,Carson,2 - 1 (W) STATS,1.0,0
"Sun, Nov 04",Sonoma State,13,7,Carson,1 - 1 (T) 2OT(UCSD 4-2 on penalty kicks) STATS,,0
"Thu, Nov 08",Seattle Pacific vs. BYU-Hawaii (First Round),-,-,UC San Diego,1-0 SPU STATS,,0
"Sat, Nov 10",Seattle Pacific (Second Round),5,-,UC San Diego,2 - 1 (W) 2OT STATS,1.0,0
"Fri, Nov 16",Western Washington (Third Round),5,23,"Denver, CO",2 - 1 (W) OT STATS,1.0,0
"Sun, Nov 18",Colorado Mines (Quarterfinals),5,15,"Denver, CO",0 - 0 (T) 2OT(UCSD 6-5 on penalty kicks) STATS,,0
"Thu, Nov 29",Grand Valley State (Semifinals),5,3,"Evans, GA",2 - 1 (W) STATS,1.0,0
"Sat, Dec 01",West Florida (Championship),5,2,"Evans, GA",0 - 1 (L) STATS NOTES,0.0,0
