Date,Opponent,UCSD Rank,Opp Rank,Location,Results,Won,Conference
"Sat, Aug 29",Central Washington,18,-,UC San Diego,2 - 1 (W) 2OT STATS,1.0,0
"Sat, Sep 05",Dixie State,10,-,UC San Diego,5 - 1 (W) STATS,1.0,0
"Fri, Sep 11",San Francisco State *,8,-,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Sep 13",Cal State Monterey Bay *,8,-,UC San Diego,4 - 0 (W) STATS,1.0,1
"Wed, Sep 16",Cal State East Bay *,13,-,Hayward,3 - 1 (W) STATS,1.0,1
"Fri, Sep 18",Cal State Stanislaus *,13,-,Turlock,4 - 0 (W) STATS,1.0,1
"Sun, Sep 20",Chico State *,13,-,Chico,0 - 2 (L) STATS,0.0,1
"Fri, Sep 25",Cal Poly Pomona *,-,-,Pomona,1 - 0 (W) STATS,1.0,1
"Sun, Sep 27",Cal State San Bernardino *,-,-,San Bernardino,2 - 0 (W) STATS,1.0,1
"Fri, Oct 02",Sonoma State *,-,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 04",Humboldt State *,-,-,UC San Diego,3 - 1 (W) STATS,1.0,1
"Thu, Oct 08",Western Washington,14,-,UC San Diego,5 - 0 (W) STATS,1.0,0
"Sun, Oct 11",Cal State East Bay *,14,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Oct 16",Cal State Dominguez Hills *,11,-,Carson,2 - 1 (W) STATS,1.0,1
"Mon, Oct 19",Cal State L.A. *,11,17,Los Angeles,1 - 2 (L) STATS,0.0,1
"Fri, Oct 23",Cal State San Bernardino *,11,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Sun, Oct 25",Cal Poly Pomona *,11,-,UC San Diego,1 - 0 (W) STATS,1.0,1
"Fri, Oct 30",Cal State L.A. *,18,16,UC San Diego,0 - 1 (L) STATS,0.0,1
"Sun, Nov 01",Cal State Dominguez Hills *,18,-,UC San Diego,1 - 2 (L) OT STATS,0.0,1
"Fri, Nov 06",Cal State Dominguez Hills,-,18,Turlock,1 - 1 (T) 2OT STATS,,0
"Sat, Nov 14",Chico State,-,-,UC San Diego,2 - 1 (W) STATS,1.0,0
"Fri, Nov 20",Cal State Dominguez Hills,-,15,UC San Diego,2 - 2 (T) STATS,,0
